time_s,Z,N,E,H
0.53,61.946867,-601.123333,-1022.838867,-11825.918533
0.54,56.946867,-597.123333,-1029.838867,-11692.918533
0.55,46.946867,-597.123333,-1035.838867,-11551.918533
0.56,37.946867,-593.123333,-1041.838867,-11406.918533
0.57,29.946867,-596.123333,-1055.838867,-11250.918533
0.58,19.946867,-596.123333,-1067.838867,-11085.918533
0.59,9.946867,-591.123333,-1083.838867,-10916.918533
0.60,3.946867,-590.123333,-1098.838867,-10732.918533
0.61,-1.053133,-582.123333,-1103.838867,-10536.918533
0.62,-14.053133,-588.123333,-1120.838867,-10337.918533
0.63,-26.053133,-580.123333,-1138.838867,-10135.918533
0.64,-36.053133,-585.123333,-1150.838867,-9924.918533
0.65,-46.053133,-580.123333,-1171.838867,-9714.918533
0.66,-52.053133,-586.123333,-1182.838867,-9504.918533
0.67,-66.053133,-581.123333,-1199.838867,-9297.918533
0.68,-72.053133,-589.123333,-1226.838867,-9095.918533
0.69,-78.053133,-587.123333,-1242.838867,-8894.918533
0.70,-89.053133,-594.123333,-1257.838867,-8687.918533
0.71,-97.053133,-597.123333,-1274.838867,-8476.918533
0.72,-112.053133,-600.123333,-1292.838867,-8254.918533
0.73,-116.053133,-606.123333,-1303.838867,-8036.918533
0.74,-130.053133,-616.123333,-1328.838867,-7817.918533
0.75,-138.053133,-611.123333,-1345.838867,-7602.918533
0.76,-150.053133,-611.123333,-1358.838867,-7389.918533
0.77,-162.053133,-614.123333,-1384.838867,-7177.918533
0.78,-163.053133,-610.123333,-1404.838867,-6962.918533
0.79,-177.053133,-617.123333,-1420.838867,-6742.918533
0.80,-185.053133,-623.123333,-1445.838867,-6514.918533
0.81,-197.053133,-618.123333,-1450.838867,-6289.918533
0.82,-206.053133,-631.123333,-1466.838867,-6060.918533
0.83,-213.053133,-631.123333,-1475.838867,-5834.918533
0.84,-219.053133,-628.123333,-1486.838867,-5618.918533
0.85,-235.053133,-627.123333,-1506.838867,-5414.918533
0.86,-236.053133,-629.123333,-1524.838867,-5212.918533
0.87,-244.053133,-629.123333,-1536.838867,-5002.918533
0.88,-251.053133,-627.123333,-1546.838867,-4784.918533
0.89,-257.053133,-639.123333,-1563.838867,-4570.918533
0.90,-263.053133,-638.123333,-1570.838867,-4351.918533
0.91,-269.053133,-635.123333,-1587.838867,-4141.918533
0.92,-275.053133,-640.123333,-1593.838867,-3932.918533
0.93,-282.053133,-634.123333,-1609.838867,-3725.918533
0.94,-280.053133,-639.123333,-1617.838867,-3526.918533
0.95,-288.053133,-642.123333,-1631.838867,-3320.918533
0.96,-291.053133,-644.123333,-1640.838867,-3114.918533
0.97,-290.053133,-648.123333,-1652.838867,-2918.918533
0.98,-287.053133,-655.123333,-1658.838867,-2720.918533
0.99,-299.053133,-657.123333,-1671.838867,-2527.918533
1.00,-295.053133,-666.123333,-1677.838867,-2335.918533
1.01,-297.053133,-663.123333,-1694.838867,-2150.918533
1.02,-298.053133,-666.123333,-1687.838867,-1966.918533
1.03,-300.053133,-672.123333,-1708.838867,-1790.918533
1.04,-296.053133,-677.123333,-1700.838867,-1611.918533
1.05,-297.053133,-674.123333,-1713.838867,-1441.918533
1.06,-293.053133,-685.123333,-1723.838867,-1272.918533
1.07,-297.053133,-679.123333,-1730.838867,-1113.918533
1.08,-296.053133,-685.123333,-1738.838867,-961.918533
1.09,-297.053133,-686.123333,-1738.838867,-815.918533
1.10,-292.053133,-689.123333,-1751.838867,-679.918533
1.11,-290.053133,-691.123333,-1747.838867,-551.918533
1.12,-289.053133,-692.123333,-1749.838867,-428.918533
1.13,-293.053133,-694.123333,-1757.838867,-322.918533
1.14,-289.053133,-700.123333,-1761.838867,-234.918533
1.15,-283.053133,-697.123333,-1762.838867,-149.918533
1.16,-284.053133,-704.123333,-1768.838867,-72.918533
1.17,-282.053133,-711.123333,-1771.838867,-0.918533
1.18,-282.053133,-716.123333,-1773.838867,61.081467
1.19,-277.053133,-719.123333,-1782.838867,122.081467
1.20,-271.053133,-719.123333,-1785.838867,174.081467
1.21,-270.053133,-724.123333,-1787.838867,217.081467
1.22,-276.053133,-725.123333,-1790.838867,257.081467
1.23,-274.053133,-727.123333,-1789.838867,287.081467
1.24,-267.053133,-735.123333,-1788.838867,310.081467
1.25,-266.053133,-740.123333,-1790.838867,328.081467
1.26,-263.053133,-747.123333,-1786.838867,337.081467
1.27,-261.053133,-755.123333,-1790.838867,341.081467
1.28,-257.053133,-756.123333,-1794.838867,335.081467
1.29,-258.053133,-758.123333,-1784.838867,327.081467
1.30,-256.053133,-762.123333,-1783.838867,313.081467
1.31,-253.053133,-765.123333,-1782.838867,288.081467
1.32,-246.053133,-766.123333,-1774.838867,253.081467
1.33,-243.053133,-775.123333,-1771.838867,205.081467
1.34,-242.053133,-784.123333,-1764.838867,150.081467
1.35,-235.053133,-784.123333,-1749.838867,95.081467
1.36,-236.053133,-790.123333,-1741.838867,31.081467
1.37,-231.053133,-793.123333,-1731.838867,-44.918533
1.38,-224.053133,-805.123333,-1729.838867,-124.918533
1.39,-223.053133,-814.123333,-1717.838867,-204.918533
1.40,-218.053133,-811.123333,-1704.838867,-283.918533
1.41,-215.053133,-816.123333,-1703.838867,-372.918533
1.42,-206.053133,-827.123333,-1696.838867,-463.918533
1.43,-206.053133,-823.123333,-1690.838867,-556.918533
1.44,-200.053133,-826.123333,-1681.838867,-652.918533
1.45,-193.053133,-825.123333,-1664.838867,-767.918533
1.46,-186.053133,-826.123333,-1658.838867,-883.918533
1.47,-183.053133,-823.123333,-1647.838867,-1003.918533
1.48,-177.053133,-821.123333,-1634.838867,-1125.918533
1.49,-175.053133,-824.123333,-1626.838867,-1251.918533
1.50,-169.053133,-826.123333,-1603.838867,-1366.918533
1.51,-162.053133,-821.123333,-1600.838867,-1490.918533
1.52,-157.053133,-821.123333,-1585.838867,-1617.918533
1.53,-148.053133,-817.123333,-1572.838867,-1748.918533
1.54,-142.053133,-820.123333,-1552.838867,-1874.918533
1.55,-138.053133,-807.123333,-1528.838867,-1995.918533
1.56,-135.053133,-806.123333,-1508.838867,-2117.918533
1.57,-128.053133,-798.123333,-1499.838867,-2243.918533
1.58,-118.053133,-799.123333,-1478.838867,-2370.918533
1.59,-108.053133,-798.123333,-1468.838867,-2493.918533
1.60,-103.053133,-792.123333,-1449.838867,-2618.918533
1.61,-95.053133,-787.123333,-1435.838867,-2737.918533
1.62,-89.053133,-789.123333,-1415.838867,-2859.918533
1.63,-81.053133,-786.123333,-1398.838867,-2973.918533
1.64,-75.053133,-777.123333,-1377.838867,-3081.918533
1.65,-70.053133,-770.123333,-1363.838867,-3192.918533
1.66,-62.053133,-768.123333,-1349.838867,-3297.918533
1.67,-54.053133,-763.123333,-1330.838867,-3392.918533
1.68,-40.053133,-761.123333,-1312.838867,-3476.918533
1.69,-35.053133,-752.123333,-1291.838867,-3559.918533
1.70,-27.053133,-756.123333,-1280.838867,-3626.918533
1.71,-22.053133,-758.123333,-1263.838867,-3685.918533
1.72,-15.053133,-757.123333,-1249.838867,-3739.918533
1.73,-13.053133,-758.123333,-1237.838867,-3788.918533
1.74,-1.053133,-754.123333,-1221.838867,-3829.918533
1.75,4.946867,-759.123333,-1206.838867,-3862.918533
1.76,6.946867,-757.123333,-1179.838867,-3893.918533
1.77,18.946867,-755.123333,-1170.838867,-3917.918533
1.78,22.946867,-755.123333,-1152.838867,-3941.918533
1.79,26.946867,-765.123333,-1138.838867,-3961.918533
1.80,29.946867,-758.123333,-1122.838867,-3975.918533
1.81,39.946867,-755.123333,-1102.838867,-3992.918533
1.82,44.946867,-750.123333,-1094.838867,-4007.918533
1.83,48.946867,-749.123333,-1072.838867,-4022.918533
1.84,54.946867,-749.123333,-1057.838867,-4033.918533
1.85,57.946867,-745.123333,-1038.838867,-4044.918533
1.86,64.946867,-738.123333,-1016.838867,-4063.918533
1.87,67.946867,-740.123333,-1006.838867,-4087.918533
1.88,72.946867,-735.123333,-986.838867,-4112.918533
1.89,82.946867,-743.123333,-974.838867,-4131.918533
1.90,79.946867,-741.123333,-961.838867,-4149.918533
1.91,88.946867,-740.123333,-946.838867,-4171.918533
1.92,86.946867,-740.123333,-931.838867,-4199.918533
1.93,94.946867,-746.123333,-924.838867,-4237.918533
1.94,100.946867,-745.123333,-902.838867,-4277.918533
1.95,106.946867,-744.123333,-886.838867,-4322.918533
1.96,107.946867,-739.123333,-880.838867,-4376.918533
1.97,108.946867,-738.123333,-864.838867,-4431.918533
1.98,113.946867,-736.123333,-851.838867,-4493.918533
1.99,118.946867,-740.123333,-835.838867,-4562.918533
2.00,118.946867,-744.123333,-820.838867,-4628.918533
2.01,119.946867,-740.123333,-816.838867,-4704.918533
2.02,123.946867,-743.123333,-798.838867,-4794.918533
2.03,127.946867,-749.123333,-798.838867,-4893.918533
2.04,136.946867,-751.123333,-784.838867,-4993.918533
2.05,138.946867,-747.123333,-785.838867,-5102.918533
2.06,142.946867,-745.123333,-778.838867,-5218.918533
2.07,141.946867,-750.123333,-774.838867,-5337.918533
2.08,145.946867,-745.123333,-759.838867,-5463.918533
2.09,146.946867,-743.123333,-753.838867,-5599.918533
2.10,150.946867,-742.123333,-742.838867,-5735.918533
2.11,150.946867,-739.123333,-736.838867,-5867.918533
2.12,155.946867,-741.123333,-729.838867,-6000.918533
2.13,156.946867,-741.123333,-720.838867,-6131.918533
2.14,162.946867,-739.123333,-717.838867,-6274.918533
2.15,162.946867,-743.123333,-715.838867,-6417.918533
2.16,165.946867,-736.123333,-711.838867,-6560.918533
2.17,163.946867,-733.123333,-703.838867,-6700.918533
2.18,162.946867,-734.123333,-701.838867,-6835.918533
2.19,163.946867,-729.123333,-699.838867,-6966.918533
2.20,169.946867,-727.123333,-695.838867,-7082.918533
2.21,162.946867,-726.123333,-694.838867,-7192.918533
2.22,169.946867,-722.123333,-693.838867,-7287.918533
2.23,165.946867,-716.123333,-691.838867,-7380.918533
2.24,167.946867,-715.123333,-694.838867,-7466.918533
2.25,160.946867,-705.123333,-697.838867,-7540.918533
2.26,162.946867,-706.123333,-700.838867,-7602.918533
2.27,163.946867,-703.123333,-693.838867,-7642.918533
2.28,158.946867,-708.123333,-695.838867,-7670.918533
2.29,153.946867,-708.123333,-697.838867,-7689.918533
2.30,149.946867,-708.123333,-703.838867,-7692.918533
2.31,143.946867,-712.123333,-702.838867,-7678.918533
2.32,142.946867,-711.123333,-699.838867,-7644.918533
2.33,137.946867,-707.123333,-704.838867,-7605.918533
2.34,139.946867,-709.123333,-704.838867,-7559.918533
2.35,132.946867,-713.123333,-704.838867,-7508.918533
2.36,137.946867,-714.123333,-713.838867,-7452.918533
2.37,124.946867,-718.123333,-715.838867,-7389.918533
2.38,123.946867,-725.123333,-715.838867,-7321.918533
2.39,114.946867,-722.123333,-719.838867,-7243.918533
2.40,113.946867,-722.123333,-719.838867,-7172.918533
2.41,103.946867,-723.123333,-737.838867,-7095.918533
2.42,108.946867,-719.123333,-748.838867,-7014.918533
2.43,101.946867,-725.123333,-751.838867,-6924.918533
2.44,104.946867,-736.123333,-766.838867,-6826.918533
2.45,91.946867,-734.123333,-785.838867,-6727.918533
2.46,93.946867,-746.123333,-802.838867,-6622.918533
2.47,90.946867,-744.123333,-817.838867,-6513.918533
2.48,90.946867,-747.123333,-823.838867,-6398.918533
2.49,90.946867,-747.123333,-844.838867,-6287.918533
2.50,84.946867,-755.123333,-864.838867,-6175.918533
2.51,79.946867,-758.123333,-888.838867,-6057.918533
2.52,77.946867,-761.123333,-909.838867,-5950.918533
2.53,81.946867,-768.123333,-923.838867,-5849.918533
2.54,76.946867,-768.123333,-935.838867,-5749.918533
2.55,75.946867,-773.123333,-951.838867,-5654.918533
2.56,77.946867,-777.123333,-973.838867,-5561.918533
2.57,68.946867,-780.123333,-990.838867,-5468.918533
2.58,73.946867,-785.123333,-1007.838867,-5375.918533
2.59,71.946867,-790.123333,-1031.838867,-5277.918533
2.60,66.946867,-790.123333,-1044.838867,-5190.918533
2.61,69.946867,-800.123333,-1073.838867,-5107.918533
2.62,71.946867,-801.123333,-1081.838867,-5030.918533
2.63,68.946867,-813.123333,-1113.838867,-4954.918533
2.64,65.946867,-812.123333,-1124.838867,-4883.918533
2.65,69.946867,-818.123333,-1146.838867,-4811.918533
2.66,69.946867,-825.123333,-1166.838867,-4741.918533
2.67,72.946867,-828.123333,-1188.838867,-4669.918533
2.68,70.946867,-836.123333,-1200.838867,-4600.918533
2.69,78.946867,-838.123333,-1222.838867,-4534.918533
2.70,74.946867,-834.123333,-1233.838867,-4471.918533
2.71,73.946867,-841.123333,-1255.838867,-4407.918533
2.72,77.946867,-843.123333,-1267.838867,-4339.918533
2.73,73.946867,-838.123333,-1278.838867,-4273.918533
2.74,78.946867,-837.123333,-1303.838867,-4210.918533
2.75,73.946867,-836.123333,-1329.838867,-4153.918533
2.76,75.946867,-836.123333,-1341.838867,-4098.918533
2.77,77.946867,-832.123333,-1363.838867,-4047.918533
2.78,71.946867,-829.123333,-1382.838867,-4000.918533
2.79,69.946867,-828.123333,-1397.838867,-3954.918533
2.80,68.946867,-827.123333,-1426.838867,-3910.918533
2.81,69.946867,-823.123333,-1435.838867,-3867.918533
2.82,70.946867,-825.123333,-1461.838867,-3826.918533
2.83,67.946867,-817.123333,-1484.838867,-3788.918533
2.84,70.946867,-821.123333,-1501.838867,-3748.918533
2.85,69.946867,-811.123333,-1526.838867,-3712.918533
2.86,68.946867,-808.123333,-1547.838867,-3677.918533
2.87,65.946867,-803.123333,-1561.838867,-3639.918533
2.88,65.946867,-799.123333,-1576.838867,-3608.918533
2.89,59.946867,-790.123333,-1594.838867,-3572.918533
2.90,59.946867,-789.123333,-1618.838867,-3541.918533
2.91,58.946867,-787.123333,-1628.838867,-3504.918533
2.92,61.946867,-792.123333,-1655.838867,-3461.918533
2.93,60.946867,-799.123333,-1673.838867,-3420.918533
2.94,52.946867,-800.123333,-1684.838867,-3379.918533
2.95,56.946867,-801.123333,-1693.838867,-3339.918533
2.96,50.946867,-810.123333,-1710.838867,-3301.918533
2.97,46.946867,-816.123333,-1723.838867,-3263.918533
2.98,42.946867,-824.123333,-1735.838867,-3219.918533
2.99,41.946867,-823.123333,-1752.838867,-3178.918533
3.00,39.946867,-830.123333,-1770.838867,-3138.918533
3.01,35.946867,-828.123333,-1773.838867,-3101.918533
3.02,31.946867,-837.123333,-1786.838867,-3087.918533
3.03,38.946867,-841.123333,-1802.838867,-3082.918533
3.04,32.946867,-844.123333,-1805.838867,-3082.918533
3.05,32.946867,-841.123333,-1826.838867,-3083.918533
3.06,24.946867,-845.123333,-1836.838867,-3084.918533
3.07,26.946867,-846.123333,-1839.838867,-3085.918533
3.08,22.946867,-848.123333,-1848.838867,-3094.918533
3.09,16.946867,-853.123333,-1851.838867,-3110.918533
3.10,17.946867,-855.123333,-1857.838867,-3135.918533
3.11,16.946867,-853.123333,-1865.838867,-3175.918533
3.12,17.946867,-855.123333,-1871.838867,-3215.918533
3.13,15.946867,-866.123333,-1875.838867,-3251.918533
3.14,9.946867,-861.123333,-1885.838867,-3285.918533
3.15,7.946867,-861.123333,-1888.838867,-3319.918533
3.16,2.946867,-853.123333,-1886.838867,-3361.918533
3.17,2.946867,-845.123333,-1898.838867,-3417.918533
3.18,1.946867,-849.123333,-1902.838867,-3475.918533
3.19,5.946867,-841.123333,-1906.838867,-3526.918533
3.20,-1.053133,-839.123333,-1911.838867,-3577.918533
3.21,-2.053133,-830.123333,-1907.838867,-3628.918533
3.22,-0.053133,-828.123333,-1910.838867,-3684.918533
3.23,-1.053133,-815.123333,-1910.838867,-3748.918533
3.24,-4.053133,-816.123333,-1906.838867,-3820.918533
3.25,-3.053133,-805.123333,-1911.838867,-3892.918533
3.26,-1.053133,-797.123333,-1904.838867,-3966.918533
3.27,-4.053133,-799.123333,-1903.838867,-4043.918533
3.28,-4.053133,-795.123333,-1903.838867,-4119.918533
3.29,-2.053133,-788.123333,-1897.838867,-4204.918533
3.30,-3.053133,-779.123333,-1890.838867,-4295.918533
3.31,-8.053133,-779.123333,-1887.838867,-4399.918533
3.32,-2.053133,-773.123333,-1869.838867,-4509.918533
3.33,-3.053133,-764.123333,-1873.838867,-4631.918533
3.34,-2.053133,-761.123333,-1866.838867,-4762.918533
3.35,0.946867,-758.123333,-1856.838867,-4892.918533
3.36,-2.053133,-758.123333,-1839.838867,-5032.918533
3.37,-5.053133,-750.123333,-1835.838867,-5172.918533
3.38,2.946867,-750.123333,-1816.838867,-5314.918533
3.39,-2.053133,-748.123333,-1807.838867,-5459.918533
3.40,-2.053133,-741.123333,-1800.838867,-5613.918533
3.41,1.946867,-745.123333,-1785.838867,-5775.918533
3.42,2.946867,-746.123333,-1784.838867,-5939.918533
3.43,2.946867,-744.123333,-1770.838867,-6112.918533
3.44,5.946867,-748.123333,-1767.838867,-6292.918533
3.45,6.946867,-751.123333,-1751.838867,-6481.918533
3.46,2.946867,-757.123333,-1742.838867,-6676.918533
3.47,4.946867,-753.123333,-1731.838867,-6875.918533
3.48,9.946867,-757.123333,-1716.838867,-7086.918533
3.49,1.946867,-759.123333,-1727.838867,-7304.918533
3.50,6.946867,-763.123333,-1705.838867,-7527.918533
3.51,11.946867,-771.123333,-1696.838867,-7757.918533
3.52,9.946867,-768.123333,-1681.838867,-7986.918533
3.53,8.946867,-775.123333,-1666.838867,-8225.918533
3.54,9.946867,-774.123333,-1652.838867,-8465.918533
3.55,11.946867,-782.123333,-1642.838867,-8706.918533
3.56,10.946867,-785.123333,-1633.838867,-8942.918533
3.57,6.946867,-796.123333,-1619.838867,-9170.918533
3.58,10.946867,-788.123333,-1602.838867,-9386.918533
3.59,7.946867,-800.123333,-1589.838867,-9602.918533
3.60,0.946867,-803.123333,-1578.838867,-9808.918533
3.61,1.946867,-812.123333,-1562.838867,-10001.918533
3.62,8.946867,-816.123333,-1555.838867,-10190.918533
3.63,8.946867,-821.123333,-1541.838867,-10374.918533
3.64,6.946867,-832.123333,-1528.838867,-10546.918533
3.65,3.946867,-831.123333,-1503.838867,-10699.918533
3.66,-1.053133,-840.123333,-1486.838867,-10841.918533
3.67,2.946867,-843.123333,-1488.838867,-10970.918533
3.68,-0.053133,-849.123333,-1478.838867,-11080.918533
3.69,-4.053133,-845.123333,-1465.838867,-11183.918533
3.70,-3.053133,-851.123333,-1464.838867,-11279.918533
3.71,-0.053133,-850.123333,-1444.838867,-11368.918533
3.72,-6.053133,-844.123333,-1445.838867,-11450.918533
3.73,-4.053133,-853.123333,-1432.838867,-11521.918533
3.74,-11.053133,-847.123333,-1427.838867,-11579.918533
3.75,-11.053133,-851.123333,-1428.838867,-11623.918533
3.76,-14.053133,-857.123333,-1411.838867,-11645.918533
3.77,-21.053133,-852.123333,-1412.838867,-11655.918533
3.78,-21.053133,-850.123333,-1406.838867,-11661.918533
3.79,-23.053133,-852.123333,-1395.838867,-11655.918533
3.80,-25.053133,-850.123333,-1395.838867,-11650.918533
3.81,-32.053133,-845.123333,-1393.838867,-11643.918533
3.82,-33.053133,-844.123333,-1384.838867,-11638.918533
3.83,-40.053133,-836.123333,-1377.838867,-11624.918533
3.84,-39.053133,-829.123333,-1368.838867,-11615.918533
3.85,-47.053133,-820.123333,-1356.838867,-11601.918533
3.86,-48.053133,-822.123333,-1355.838867,-11587.918533
3.87,-51.053133,-819.123333,-1345.838867,-11562.918533
3.88,-58.053133,-807.123333,-1337.838867,-11527.918533
3.89,-56.053133,-808.123333,-1333.838867,-11499.918533
3.90,-59.053133,-801.123333,-1317.838867,-11473.918533
3.91,-62.053133,-798.123333,-1309.838867,-11453.918533
3.92,-62.053133,-799.123333,-1299.838867,-11424.918533
3.93,-64.053133,-786.123333,-1291.838867,-11387.918533
3.94,-71.053133,-790.123333,-1279.838867,-11346.918533
3.95,-76.053133,-781.123333,-1266.838867,-11299.918533
3.96,-76.053133,-770.123333,-1261.838867,-11259.918533
3.97,-77.053133,-766.123333,-1245.838867,-11209.918533
3.98,-80.053133,-767.123333,-1238.838867,-11147.918533
3.99,-84.053133,-760.123333,-1235.838867,-11069.918533
4.00,-86.053133,-752.123333,-1223.838867,-10975.918533
4.01,-90.053133,-754.123333,-1209.838867,-10871.918533
4.02,-87.053133,-745.123333,-1198.838867,-10761.918533
4.03,-90.053133,-749.123333,-1187.838867,-10640.918533
4.04,-91.053133,-749.123333,-1180.838867,-10511.918533
4.05,-95.053133,-749.123333,-1168.838867,-10366.918533
4.06,-97.053133,-745.123333,-1162.838867,-10206.918533
4.07,-96.053133,-741.123333,-1162.838867,-10032.918533
4.08,-96.053133,-742.123333,-1151.838867,-9849.918533
4.09,-100.053133,-738.123333,-1154.838867,-9664.918533
4.10,-102.053133,-740.123333,-1142.838867,-9472.918533
4.11,-103.053133,-742.123333,-1134.838867,-9264.918533
4.12,-103.053133,-752.123333,-1126.838867,-9042.918533
4.13,-102.053133,-749.123333,-1119.838867,-8807.918533
4.14,-110.053133,-751.123333,-1119.838867,-8562.918533
4.15,-106.053133,-757.123333,-1116.838867,-8311.918533
4.16,-113.053133,-758.123333,-1108.838867,-8051.918533
4.17,-109.053133,-759.123333,-1101.838867,-7791.918533
4.18,-115.053133,-761.123333,-1095.838867,-7532.918533
4.19,-119.053133,-767.123333,-1091.838867,-7275.918533
4.20,-116.053133,-767.123333,-1087.838867,-7012.918533
4.21,-117.053133,-771.123333,-1084.838867,-6745.918533
4.22,-120.053133,-778.123333,-1084.838867,-6470.918533
4.23,-121.053133,-781.123333,-1067.838867,-6182.918533
4.24,-117.053133,-786.123333,-1070.838867,-5888.918533
4.25,-129.053133,-788.123333,-1066.838867,-5582.918533
4.26,-125.053133,-789.123333,-1067.838867,-5273.918533
4.27,-118.053133,-791.123333,-1068.838867,-4961.918533
4.28,-122.053133,-797.123333,-1061.838867,-4639.918533
4.29,-124.053133,-799.123333,-1060.838867,-4315.918533
4.30,-121.053133,-808.123333,-1060.838867,-3990.918533
4.31,-121.053133,-809.123333,-1052.838867,-3661.918533
4.32,-122.053133,-817.123333,-1053.838867,-3345.918533
4.33,-124.053133,-819.123333,-1049.838867,-3028.918533
4.34,-125.053133,-825.123333,-1049.838867,-2713.918533
4.35,-121.053133,-823.123333,-1047.838867,-2401.918533
4.36,-116.053133,-831.123333,-1050.838867,-2086.918533
4.37,-120.053133,-835.123333,-1048.838867,-1772.918533
4.38,-122.053133,-845.123333,-1044.838867,-1460.918533
4.39,-124.053133,-844.123333,-1044.838867,-1153.918533
4.40,-115.053133,-856.123333,-1043.838867,-851.918533
4.41,-120.053133,-856.123333,-1048.838867,-552.918533
4.42,-123.053133,-861.123333,-1051.838867,-255.918533
4.43,-124.053133,-864.123333,-1054.838867,42.081467
4.44,-124.053133,-865.123333,-1049.838867,330.081467
4.45,-116.053133,-872.123333,-1053.838867,616.081467
4.46,-121.053133,-877.123333,-1056.838867,896.081467
4.47,-120.053133,-876.123333,-1048.838867,1163.081467
4.48,-119.053133,-878.123333,-1056.838867,1414.081467
4.49,-118.053133,-889.123333,-1055.838867,1659.081467
4.50,-120.053133,-891.123333,-1064.838867,1905.081467
4.51,-118.053133,-898.123333,-1064.838867,2148.081467
4.52,-126.053133,-901.123333,-1055.838867,2385.081467
4.53,-120.053133,-910.123333,-1062.838867,2601.081467
4.54,-121.053133,-912.123333,-1063.838867,2804.081467
4.55,-126.053133,-913.123333,-1057.838867,2994.081467
4.56,-123.053133,-921.123333,-1071.838867,3172.081467
4.57,-130.053133,-922.123333,-1080.838867,3338.081467
4.58,-125.053133,-931.123333,-1082.838867,3507.081467
4.59,-123.053133,-941.123333,-1093.838867,3672.081467
4.60,-126.053133,-939.123333,-1090.838867,3824.081467
4.61,-121.053133,-939.123333,-1104.838867,3954.081467
4.62,-123.053133,-948.123333,-1119.838867,4075.081467
4.63,-128.053133,-948.123333,-1118.838867,4197.081467
4.64,-128.053133,-947.123333,-1129.838867,4304.081467
4.65,-127.053133,-952.123333,-1149.838867,4401.081467
4.66,-123.053133,-958.123333,-1159.838867,4490.081467
4.67,-126.053133,-952.123333,-1166.838867,4568.081467
4.68,-124.053133,-959.123333,-1187.838867,4627.081467
4.69,-122.053133,-955.123333,-1193.838867,4679.081467
4.70,-127.053133,-960.123333,-1206.838867,4725.081467
4.71,-122.053133,-951.123333,-1221.838867,4761.081467
4.72,-122.053133,-954.123333,-1235.838867,4796.081467
4.73,-120.053133,-960.123333,-1242.838867,4827.081467
4.74,-119.053133,-951.123333,-1253.838867,4844.081467
4.75,-112.053133,-958.123333,-1268.838867,4848.081467
4.76,-116.053133,-962.123333,-1272.838867,4853.081467
4.77,-111.053133,-963.123333,-1284.838867,4855.081467
4.78,-113.053133,-970.123333,-1291.838867,4855.081467
4.79,-112.053133,-968.123333,-1309.838867,4854.081467
