time_s,Z,N,E,H
0.82,0.028,0.1347,-0.019,0.2321
0.84,0.0297,0.0279,0.2632,-0.3312
0.86,-0.1006,0.0221,0.1259,0.2051
0.88,0.0183,0.1701,-0.2084,0.1621
0.9,0.1798,-0.1791,0.1229,0.1143
0.92,-0.0563,0.0653,-0.0257,-0.228
0.94,0.0635,-0.0287,-0.2564,0.059
0.96,-0.0516,-0.0885,-0.102,-0.0394
0.98,-0.093,0.002,0.1902,0.0067
1.0,-0.0671,0.0423,-0.1302,0.3408
1.02,0.0605,0.2182,-0.0188,-0.166
1.04,-0.1642,-0.033,0.0713,0.0637
1.06,0.1111,-0.156,0.0431,-0.1715
1.08,-0.0399,0.0334,0.0027,-0.1882
1.1,-0.206,0.1005,-0.009,0.3644
1.12,0.1269,-0.1465,0.1487,-0.0719
1.14,0.0526,0.0078,-0.079,-0.0335
1.16,-0.0058,0.0501,-0.153,0.1852
1.18,0.1682,-0.1754,-0.0711,-0.0262
1.2,-0.0037,-0.1465,0.0173,-0.2503
1.22,0.1911,-0.0837,-0.1744,-0.1219
1.24,-0.2787,0.1113,0.1634,0.1903
1.26,0.2441,-0.0087,-0.2808,0.0008
1.28,-0.1799,0.2806,0.0983,-0.2733
1.3,-0.0271,0.2515,0.0616,-0.1742
1.32,-0.1845,-0.098,-0.0433,-0.2467
1.34,0.1189,-0.1735,0.3249,-0.0935
1.36,0.0781,-0.1967,-0.0859,0.0142
1.38,0.1203,0.1271,0.2217,-0.1301
1.4,-0.028,-0.0177,0.0867,0.1644
1.42,0.1303,0.0255,0.1441,-0.4442
1.44,0.0794,0.0158,-0.0659,0.1169
1.46,0.0117,0.0287,-0.117,-0.1553
1.48,0.0349,0.0835,-0.1457,-0.0746
1.5,-0.0465,0.0885,0.2423,-0.0973
1.52,0.1558,-0.0143,0.0054,0.1882
1.54,0.0662,-0.1393,0.1237,0.3636
1.56,-0.0205,-0.0939,-0.1427,0.0078
1.58,0.0026,-0.084,0.1436,0.1404
1.6,-0.0776,0.0805,0.1335,-0.2682
1.62,0.0373,0.019,-0.0041,0.0027
1.64,0.0743,-0.0556,-0.2034,-0.2557
1.66,0.148,0.1923,-0.1352,-0.0083
1.68,0.3286,-0.0015,0.2841,-0.0755
1.7,-0.097,-0.0553,0.0464,-0.1049
1.72,0.3792,0.0476,0.0232,0.16
1.74,0.0066,0.1804,-0.0948,-0.1559
1.76,0.1997,-0.1942,0.0226,-0.2394
1.78,0.102,-0.1838,0.0984,-0.24
1.8,-0.1909,0.0207,0.1594,-0.1174
1.82,0.0755,-0.0545,0.2284,0.136
1.84,-0.0166,0.0375,0.0925,-0.1199
1.86,0.0844,-0.0808,-0.0478,0.2573
1.88,0.0421,-0.1946,0.2577,-0.3887
1.9,0.1741,0.1203,-0.0648,0.1644
1.92,0.2857,0.0132,0.0274,-0.0606
1.94,0.0989,-0.2639,0.0076,-0.0507
1.96,0.0903,-0.0568,0.0171,-0.0259
1.98,0.1216,-0.0794,-0.0083,0.2354
2.0,-0.0601,-0.1255,0.0138,-0.3442
2.02,-0.0843,0.0751,-0.0457,0.1187
2.04,-0.1998,0.0758,0.0367,-0.0523
2.06,-0.2476,-0.053,-0.0185,0.2067
2.08,-0.1679,-0.0433,-0.0189,0.2119
2.1,-0.049,0.1096,-0.1693,-0.0607
2.12,0.1672,-0.0044,-0.258,-0.2444
2.14,-0.1855,-0.2155,0.1345,0.0458
2.16,0.0935,0.0462,-0.0164,-0.0602
2.18,0.2111,0.0854,-0.1075,0.1695
2.2,0.2425,-0.073,-0.0465,0.0093
2.22,0.2338,-0.325,0.051,0.1121
2.24,-0.183,0.0203,-0.0168,0.0182
2.26,-0.0819,0.0326,0.1883,0.4085
2.28,-0.1051,0.154,-0.1265,0.2527
2.3,0.0364,0.1472,0.0496,0.0797
2.32,0.0992,-0.1224,0.2718,0.0241
2.34,-0.0181,-0.0511,-0.0726,-0.2747
2.36,-0.1773,0.034,-0.3717,-0.0479
2.38,-0.2511,-0.1554,-0.069,0.3527
2.4,-0.0747,0.0726,-0.3013,-0.015
2.42,-0.0003,-0.0062,0.0333,-0.302
2.44,-0.1292,-0.111,0.0856,0.3543
2.46,0.0928,-0.0123,0.135,0.0433
2.48,0.2716,-0.0553,0.1806,0.414
2.5,-0.0517,-0.1,-0.1721,-0.2071
2.52,-0.419,0.0851,0.0369,-0.1304
2.54,0.0549,-0.0554,-0.0326,-0.0593
2.56,0.3077,0.1634,-0.2748,0.1705
2.58,0.0644,-0.0186,-0.1975,-0.0114
2.6,0.0159,-0.0051,-0.0832,0.1737
2.62,0.1193,0.0431,-0.0752,-0.0507
2.64,0.0201,0.1415,0.088,-0.2008
2.66,0.0427,-0.0266,0.0016,0.0952
2.68,0.0415,0.1127,0.0216,0.1663
2.7,0.1254,0.1531,-0.0939,0.2148
2.72,0.1138,0.1001,0.1333,0.1845
2.74,-0.1316,-0.1228,-0.3455,-0.182
2.76,-0.2161,-0.0892,0.1201,-0.2921
2.78,-0.0381,0.1505,-0.062,-0.1645
2.8,-0.1173,0.0236,-0.0068,-0.0998
2.82,0.0143,-0.1697,-0.0431,0.0866
2.84,0.0091,-0.1112,-0.1989,-0.1011
2.86,0.0025,0.003,-0.0456,-0.2287
2.88,-0.1675,0.2123,0.1211,-0.1771
2.9,-0.028,0.0913,-0.0797,-0.2146
2.92,0.0739,-0.1246,-0.1684,-0.0185
2.94,-0.0127,-0.0193,-0.1185,-0.1746
2.96,0.0626,0.0344,0.1932,-0.0412
2.98,-0.1433,0.0468,-0.0081,0.1129
3.0,0.3099,0.0882,-0.0154,0.1397
3.02,-0.1245,-0.1685,-0.1804,0.0217
3.04,-0.0419,0.1136,-0.0419,-0.3451
3.06,0.002,0.2299,0.0104,-0.0551
3.08,0.0933,0.0644,0.0255,0.2229
3.1,0.1685,-0.0426,-0.0227,-0.1725
3.12,0.2083,0.0739,0.0234,0.236
3.14,0.4546,-0.1977,0.1086,0.0851
3.16,0.0982,0.2436,0.0012,-0.0277
3.18,-0.1088,0.114,0.0752,-0.0924
3.2,-0.0204,0.1714,0.2536,-0.1548
3.22,0.0424,-0.2588,0.2877,0.295
3.24,0.0932,0.1942,-0.1208,0.1627
3.26,-0.1059,-0.0744,-0.0205,-0.0035
3.28,-0.0357,-0.1227,-0.0731,-0.0875
3.3,0.0657,-0.1123,0.0113,-0.3289
3.32,-0.1496,0.0354,-0.0209,0.3087
3.34,0.2177,0.2155,-0.0704,0.1721
3.36,-0.3056,-0.0507,-0.0074,-0.0166
3.38,-0.376,0.003,-0.033,0.1082
3.4,-0.0617,0.005,-0.0369,0.2329
3.42,-0.0663,-0.1073,-0.0836,0.1871
3.44,-0.0165,0.0549,-0.0594,0.2125
3.46,-0.0252,-0.0593,0.0473,-0.0344
3.48,0.0692,-0.0015,-0.0089,-0.0968
3.5,0.1515,-0.2318,-0.1087,-0.0081
3.52,-0.0293,-0.0814,-0.062,-0.0533
3.54,-0.1052,-0.0772,-0.1279,0.0625
3.56,0.0234,0.1763,0.1421,0.2237
3.58,-0.0673,0.0507,0.006,0.0618
3.6,-0.0836,0.0752,0.1291,0.0737
3.62,-0.2915,-0.1552,-0.0296,-0.0991
3.64,-0.0355,0.0582,-0.0147,0.1886
3.66,0.0773,-0.0294,0.0123,0.1918
3.68,0.0877,-0.179,-0.2467,0.0449
3.7,0.0033,0.0089,0.1101,-0.1807
3.72,0.128,0.1144,-0.0659,0.0821
3.74,0.2752,-0.1071,0.0017,-0.2052
3.76,0.3207,-0.0872,-0.04,0.0967
3.78,-0.2634,0.1129,0.1081,0.0473
3.8,0.1279,-0.0752,0.0565,0.1067
3.82,-0.2308,-0.0124,0.0169,0.1256
3.84,0.0927,-0.0122,-0.2742,-0.1363
3.86,-0.0174,-0.0387,0.0916,-0.122
3.88,-0.1401,0.2775,0.1057,0.227
3.9,-0.214,-0.0648,-0.1514,0.1419
3.92,-0.0713,0.1624,-0.2809,-0.1152
3.94,-0.1533,0.0609,0.1055,0.1601
3.96,-0.281,-0.2223,0.0367,-0.2192
3.98,-0.0053,0.1282,0.0345,-0.0621
4.0,-0.196,0.2455,-0.0415,-0.2511
4.02,0.0551,-0.0759,0.1166,0.2154
4.04,-0.0634,0.1747,0.0888,0.1979
4.06,-0.3214,0.0371,-0.0577,0.1339
4.08,0.0677,0.1499,-0.2749,0.1169
4.1,-0.0423,-0.0259,0.2072,0.1106
4.12,0.264,-0.0322,0.013,0.0698
4.14,-0.362,-0.1052,0.0182,-0.0601
4.16,-0.1167,-0.0585,-0.1895,-0.0857
4.18,0.0465,0.0466,0.1424,-0.0558
4.2,-0.0343,-0.3147,0.0121,-0.0035
4.22,-0.0562,0.121,0.0314,-0.1749
4.24,0.3082,-0.0888,0.0877,-0.1835
4.26,-0.0719,-0.1156,0.2028,-0.0142
4.28,0.0026,0.154,0.0694,0.1022
4.3,0.1813,0.2492,-0.0278,0.0451
4.32,0.1261,0.1055,0.1442,-0.0351
4.34,0.172,-0.0997,0.0166,-0.1027
4.36,0.07,0.0891,0.1831,0.0677
4.38,0.1213,0.0728,0.2403,0.0955
4.4,0.0677,0.0341,0.0249,0.1672
4.42,-0.174,0.0983,-0.2511,-0.0208
4.44,-0.0497,0.0471,-0.1368,-0.1414
4.46,-0.1277,-0.0398,-0.1508,0.2838
4.48,-0.0577,-0.05,0.157,-0.0301
4.5,-0.0798,0.0437,-0.1162,-0.0751
4.52,0.1012,0.156,0.1527,0.1832
4.54,0.1648,-0.1282,-0.0816,0.0833
4.56,-0.1234,0.0774,0.2204,0.0812
4.58,-0.0938,-0.0027,0.0164,-0.2548
4.6,-0.0516,0.1187,0.0529,-0.1444
4.62,0.1567,-0.351,-0.0357,0.1666
4.64,-0.0104,-0.0544,-0.0616,0.088
4.66,0.0675,-0.1053,0.1562,0.0431
4.68,0.1306,-0.0121,-0.1924,0.2682
4.7,0.1166,-0.0831,-0.0547,0.0533
4.72,-0.0298,-0.1816,-0.0451,0.2089
4.74,-0.0628,0.1292,-0.0332,0.0005
4.76,-0.2928,-0.0703,0.1398,0.4293
4.78,0.0677,-0.0074,0.1816,-0.2674
4.8,0.0773,-0.1308,-0.0614,-0.1609
4.82,-0.1151,-0.0081,-0.0543,0.1463
4.84,0.2191,0.2215,-0.0257,-0.1694
4.86,0.1797,0.0441,-0.039,-0.0325
4.88,0.156,0.0282,0.0032,-0.4802
4.9,-0.0158,-0.0127,0.0166,-0.0506
4.92,-0.0622,0.0767,-0.0841,0.0436
4.94,-0.2369,0.0605,0.0214,0.0496
4.96,0.0793,0.0882,-0.0029,0.1984
4.98,-0.1662,0.0801,0.2,-0.1341
5.0,-0.2579,-0.0187,-0.2212,0.1297
5.02,-0.1199,0.0915,0.0924,-0.0737
5.04,-0.0388,0.0362,0.1453,-0.0749
5.06,-0.0846,0.0879,0.0754,-0.1543
5.08,-0.0902,0.111,0.0599,-0.1194
5.1,0.2541,-0.1534,0.0506,-0.3923
5.12,0.0255,-0.0288,-0.0912,0.0699
5.14,0.104,0.2158,0.0262,0.176
5.16,-0.1213,0.4085,0.0057,-0.1379
5.18,0.0272,0.0379,0.1592,-0.2311
5.2,0.2164,-0.1861,0.0279,-0.1107
5.22,0.0193,0.0246,-0.0285,-0.1267
5.24,0.145,-0.2312,-0.0919,-0.0896
5.26,0.1959,-0.0162,0.1332,0.0348
5.28,0.0955,-0.1431,0.0185,0.2467
5.3,0.2431,0.1478,-0.1542,0.1962
5.32,-0.0378,-0.114,0.0403,-0.0967
5.34,-0.0433,-0.0984,0.1406,0.023
5.36,0.1026,0.0722,0.1239,0.0254
5.38,-0.2682,0.1358,0.1869,0.0942
5.4,-0.0637,0.0508,0.0444,-0.0039
5.42,-0.2349,-0.0943,0.0509,-0.4244
5.44,-0.3341,-0.1383,0.109,-0.1625
5.46,-0.0414,0.0407,-0.0863,0.174
5.48,0.1965,-0.1843,0.1522,0.1619
5.5,-0.0266,0.1793,0.0261,0.1424
5.52,0.1517,-0.1064,0.0434,0.1919
5.54,-0.0215,0.0076,-0.0147,-0.1742
5.56,-0.0334,0.1483,-0.0619,-0.5584
5.58,-0.1305,0.0322,-0.0182,0.0358
5.6,0.128,0.1259,-0.2156,-0.1647
5.62,0.2079,0.0742,0.1101,-0.1777
5.64,-0.2456,0.1616,0.0357,0.1153
5.66,0.0973,0.1963,-0.0827,-0.4528
5.68,-0.2098,0.0499,0.0217,0.0129
5.7,-0.069,-0.2376,-0.0118,0.0139
5.72,0.0558,-0.0288,-0.0801,-0.0819
5.74,0.0213,-0.0239,-0.2885,-0.0469
5.76,0.0559,-0.075,-0.0142,-0.0022
5.78,-0.0275,-0.0825,-0.0896,0.3446
5.8,0.117,0.0376,0.0382,-0.1417
5.82,-0.167,0.1258,0.0137,0.1058
5.84,0.1742,0.1373,0.0874,0.0383
5.86,0.262,0.0635,0.1434,-0.1755
5.88,0.0212,0.0247,0.0421,0.1052
5.9,-0.0894,-0.0977,-0.1506,0.1942
5.92,0.0766,0.1639,0.0783,-0.1066
5.94,0.0052,0.0036,0.0691,0.4201
5.96,0.0993,-0.0765,-0.2471,0.2103
5.98,-0.0699,0.0341,-0.0522,-0.184
6.0,-0.1609,-0.1232,-0.1146,-0.2036
6.02,-0.1428,0.0732,0.084,-0.1372
6.04,-0.2192,-0.0047,0.0492,0.1885
6.06,0.0527,-0.0451,0.0573,-0.224
6.08,-0.2022,0.0437,-0.0958,0.0499
6.1,0.0506,-0.008,0.0555,-0.0762
6.12,0.1178,0.0078,0.0363,0.234
6.14,-0.2918,-0.0947,0.1864,0.0907
6.16,0.1838,0.1144,0.0249,0.0564
6.18,0.1224,0.0603,-0.0623,0.003
6.2,0.059,-0.0654,0.0178,0.1513
6.22,0.1751,-0.1044,0.0836,0.1621
6.24,0.1329,-0.1809,0.2622,-0.1088
6.26,0.1197,-0.014,-0.0075,-0.2455
6.28,0.1115,0.1002,-0.0554,-0.0035
6.3,-0.1621,-0.0321,0.1419,-0.0295
6.32,-0.0059,0.0707,0.0153,-0.4124
6.34,-0.0269,0.0557,0.2639,0.2364
6.36,-0.089,0.0664,-0.0167,0.0335
6.38,-0.1374,-0.0221,0.186,-0.2048
6.4,0.1477,0.1148,-0.1534,-0.0713
6.42,-0.1646,0.0226,0.1841,0.1514
6.44,-0.1559,-0.0486,-0.1065,0.1217
6.46,-0.2848,-0.1586,-0.0722,0.1379
6.48,-0.0763,0.1137,-0.0252,-0.1896
6.5,0.2135,-0.0313,-0.1642,0.0855
6.52,0.2363,0.1846,-0.0514,0.0015
6.54,-0.0424,0.0222,-0.0337,0.0199
6.56,0.1603,-0.191,-0.0129,-0.0998
6.58,-0.0235,0.1889,0.0181,0.0419
6.6,-0.016,0.1463,0.1347,0.1683
6.62,-0.0684,0.0036,-0.0881,-0.0119
6.64,0.1039,-0.0168,0.0108,0.1751
6.66,-0.0494,-0.0494,-0.0519,0.197
6.68,-0.1574,0.0408,0.0465,0.0372
6.7,-0.2843,-0.1559,-0.1511,0.0784
6.72,0.0615,-0.0069,0.0513,0.1927
6.74,-0.1348,-0.1481,0.229,-0.2694
6.76,0.0477,0.109,0.0895,0.0542
6.78,0.0225,0.0564,-0.0456,-0.1101
6.8,0.0597,0.1137,-0.1229,-0.1955
6.82,-0.1794,0.02,0.0427,-0.002
6.84,0.288,0.0196,0.0323,0.1725
6.86,0.0675,0.1543,-0.144,0.3025
6.88,0.1127,0.1709,0.0085,-0.0376
6.9,-0.139,-0.0726,-0.229,-0.233
6.92,-0.0737,-0.0748,0.1131,-0.1423
6.94,-0.0403,-0.0244,-0.2978,0.1276
6.96,0.1528,-0.0465,-0.2183,0.0476
6.98,-0.1772,-0.0061,0.0307,0.1842
7.0,-0.1186,0.0044,-0.0471,0.2239
7.02,-0.0089,0.0046,0.01,0.1004
7.04,-0.0716,0.0648,-0.0152,0.1217
7.06,-0.2023,0.1169,-0.054,0.0373
7.08,-0.0544,0.033,-0.0985,0.0168
7.1,-0.0889,-0.0301,-0.1351,0.267
7.12,-0.0048,-0.1119,0.1507,-0.0154
7.14,0.0432,0.1044,-0.1891,-0.0209
7.16,-0.0451,-0.1149,0.1008,0.1478
7.18,0.0468,0.0229,0.0896,0.3574
7.2,-0.3115,0.0705,-0.0516,0.2857
7.22,-0.0756,0.0873,-0.1353,0.0157
7.24,-0.1906,0.2753,0.2368,0.0638
7.26,0.0162,0.0883,0.1363,0.0241
7.28,-0.0202,-0.2577,0.0279,-0.1008
7.3,0.1449,-0.1562,-0.0158,0.1583
7.32,0.4982,-0.0375,0.116,0.3049
7.34,-0.0569,0.1134,-0.0226,-0.006
7.36,0.0654,0.2398,-0.1061,0.1148
7.38,-0.4048,-0.0284,0.0094,0.1043
7.4,0.0108,0.1519,0.1975,0.0683
7.42,-0.2335,0.0653,-0.068,-0.3164
7.44,-0.0209,0.1613,-0.0326,-0.03
7.46,0.0797,-0.0309,-0.031,0.2396
7.48,0.0482,-0.0565,0.0123,0.1794
7.5,0.2305,-0.0599,-0.0892,0.1818
7.52,0.194,-0.179,-0.0498,-0.2105
7.54,0.0885,-0.0556,-0.1198,0.168
7.56,-0.1426,0.2487,-0.0664,0.1767
7.58,-0.0069,-0.0141,0.1382,-0.1377
7.6,0.2309,0.0409,-0.0731,-0.0208
7.62,-0.1636,-0.0332,-0.1994,-0.2167
7.64,0.0913,0.0439,0.0423,-0.1816
7.66,0.0746,-0.1478,-0.2549,-0.3841
7.68,-0.3217,-0.0015,0.0674,-0.1518
7.7,-0.0026,-0.071,0.1199,0.205
7.72,0.1432,0.0439,0.0169,0.1515
7.74,0.155,0.0734,-0.1444,0.0825
7.76,-0.1286,-0.1496,0.1107,-0.1214
7.78,0.0814,0.1985,0.0007,0.2137
7.8,0.1017,-0.0055,-0.0605,0.0977
7.82,-0.0539,0.0261,-0.0786,-0.0193
7.84,0.1827,0.028,-0.155,0.2735
7.86,-0.1209,0.0852,0.0528,0.1125
7.88,-0.0894,0.0465,-0.0665,-0.0731
7.9,-0.313,-0.1205,0.0729,0.1165
7.92,0.0639,0.0031,-0.0082,-0.034
7.94,0.1653,-0.0836,-0.1452,0.3084
7.96,0.1663,-0.0449,-0.1438,0.1508
7.98,0.1088,-0.0399,-0.1416,-0.1076
8.0,0.1222,0.0694,-0.1354,0.1714
8.02,-0.2196,0.2009,0.0115,0.1128
8.04,-0.0139,-0.0651,-0.061,0.03
8.06,-0.1133,-0.1722,-0.1283,-0.0183
8.08,0.0314,0.0554,0.0034,0.0387
8.1,-0.0854,-0.123,-0.228,0.0828
8.12,0.0198,-0.0682,0.0884,-0.3213
8.14,0.3585,-0.0104,0.0535,-0.0498
8.16,0.1729,0.1676,0.0439,-0.1618
8.18,-0.0489,-0.1536,0.0873,-0.1664
8.2,0.0534,-0.2507,0.0957,-0.1577
8.22,-0.0183,-0.0566,-0.0342,0.0943
8.24,-0.1602,-0.1722,0.0654,-0.0886
8.26,0.0859,-0.0153,-0.0408,0.0322
8.28,-0.0027,-0.2261,-0.0414,-0.058
8.3,0.022,0.1034,0.0601,-0.0523
8.32,-0.0055,-0.0796,0.0476,0.0194
8.34,-0.0226,-0.2257,-0.1325,-0.2703
8.36,-0.0657,0.0599,0.0513,0.101
8.38,0.0592,-0.052,0.1049,0.0095
8.4,0.2244,0.0991,0.05,-0.0956
8.42,0.0899,-0.1195,0.0147,-0.0031
8.44,0.091,-0.0969,0.0979,-0.3349
8.46,-0.1245,0.1359,0.0086,-0.2555
8.48,-0.0322,0.0066,-0.1009,-0.0123
8.5,0.0787,-0.1832,0.2699,0.3972
8.52,-0.0054,0.0199,-0.0983,-0.1933
8.54,0.1009,-0.0684,-0.0649,-0.1331
8.56,0.1509,-0.016,0.0238,0.1851
8.58,0.0922,-0.0799,0.2552,0.053
8.6,-0.1467,0.0529,0.0648,-0.0534
8.62,0.0736,0.2803,-0.1574,-0.2739
8.64,-0.0784,-0.1025,-0.0623,-0.2827
8.66,0.0398,-0.0868,-0.0073,0.0405
8.68,0.0668,-0.0472,-0.2386,0.1358
8.7,0.159,-0.1372,-0.0062,0.0862
8.72,0.2486,0.2449,-0.2025,-0.1579
8.74,0.0075,0.0368,0.1584,-0.0829
8.76,0.091,-0.0043,0.0874,0.1082
8.78,0.0247,-0.1185,-0.0016,-0.0575
8.8,0.0465,0.0302,-0.0707,0.2702
8.82,0.0142,0.1326,0.1171,-0.0858
8.84,-0.1152,0.0197,0.0587,0.2203
8.86,-0.069,-0.0748,-0.0085,-0.2085
8.88,0.0361,-0.0021,-0.1027,-0.1294
8.9,0.0598,-0.0036,-0.0259,0.1611
8.92,-0.4581,0.0133,0.0702,-0.0926
8.94,-0.2329,0.1762,-0.1228,0.1935
8.96,-0.1442,-0.0383,-0.1586,-0.2514
8.98,0.0742,0.0604,0.0048,0.0871
9.0,-0.067,-0.0987,-0.1699,0.1738
9.02,0.0918,-0.0375,0.0855,0.1838
9.04,-0.0054,-0.1299,-0.0363,-0.0327
9.06,0.2886,0.0532,0.2857,-0.0426
9.08,0.2705,-0.058,0.0226,-0.1121
9.1,0.1742,0.257,-0.2018,0.1154
9.12,-0.1568,0.0874,-0.0295,-0.033
9.14,0.1133,0.0951,-0.0082,-0.2753
9.16,-0.0298,-0.0429,-0.0483,0.2681
9.18,-0.0592,-0.2994,0.0406,-0.244
9.2,0.1476,-0.0898,0.0774,0.1723
9.22,0.207,-0.1096,0.3305,0.2773
9.24,-0.1339,-0.0448,-0.1035,0.0541
9.26,-0.043,-0.009,-0.0366,0.1479
9.28,0.0752,0.0465,0.0666,0.3225
9.3,0.2448,0.0167,-0.1423,-0.1345
9.32,-0.132,-0.2166,-0.0074,-0.1131
9.34,-0.034,0.0335,0.1514,0.2932
9.36,0.1397,0.0299,0.0234,-0.2338
9.38,0.1388,0.3469,-0.2488,-0.0042
9.4,0.1603,-0.0605,-0.0171,0.1077
9.42,0.1403,0.047,0.0383,-0.1375
9.44,0.021,-0.0116,-0.0283,0.0378
9.46,-0.0475,0.0464,-0.0829,-0.2231
9.48,0.183,0.026,-0.1464,-0.1733
9.5,-0.0286,-0.074,-0.0745,-0.2454
9.52,0.0652,-0.0698,-0.1242,0.2064
9.54,-0.1423,0.3742,0.0787,-0.0439
9.56,0.1512,-0.1407,-0.096,-0.0081
9.58,0.0673,-0.1624,0.1654,-0.0002
9.6,0.0156,-0.0257,-0.0869,-0.0107
9.62,-0.0472,0.0422,0.0124,0.1005
9.64,-0.1943,0.1604,-0.1493,0.4502
9.66,-0.0299,-0.0533,-0.1735,-0.0254
9.68,0.0477,-0.2505,-0.0664,0.2238
9.7,0.0167,0.1241,-0.1972,-0.2733
9.72,-0.126,-0.0737,-0.1267,-0.2598
9.74,0.2185,0.0369,-0.0716,-0.0131
9.76,-0.3996,0.1195,-0.0361,-0.2173
9.78,0.0591,0.0069,0.1759,-0.4159
9.8,0.087,0.0654,-0.0925,0.2632
9.82,0.0263,-0.2467,-0.0971,-0.0721
9.84,-0.0275,-0.0407,-0.0573,-0.0143
9.86,0.03,-0.1251,-0.0276,-0.122
9.88,-0.0795,-0.1177,-0.1793,-0.2958
9.9,0.0241,-0.0974,-0.1887,-0.034
9.92,0.0578,0.0771,0.03,0.0855
9.94,0.1937,0.0675,0.0628,0.2189
9.96,-0.3416,-0.1799,0.0246,0.0089
9.98,0.0531,0.0314,-0.0463,-0.1935
10.0,-0.023,0.1104,0.0467,0.0807
10.02,0.0762,0.1771,-0.0232,0.005
10.04,-0.2267,0.1554,-0.1039,-0.1024
10.06,-0.1297,-0.0098,0.1276,0.0282
10.08,0.0842,0.2086,0.1622,0.0486
10.1,0.0972,0.0197,0.0129,0.0286
10.12,-0.2114,-0.0709,0.1879,-0.0811
10.14,0.235,0.1918,-0.1148,0.4175
10.16,0.0838,-0.1675,0.0247,-0.0726
10.18,-0.2916,0.1084,-0.0092,0.0113
10.2,-0.0536,-0.0345,-0.1132,0.0174
10.22,-0.0345,0.0091,-0.1954,-0.1648
10.24,0.1019,-0.2645,-0.1831,0.2756
10.26,0.0054,-0.136,0.151,0.0339
10.28,-0.0952,0.2411,-0.0301,0.0765
10.3,0.0582,-0.158,0.0825,-0.2247
10.32,0.1766,-0.2603,0.131,0.1592
10.34,0.1984,-0.0327,0.2564,0.1269
10.36,0.3848,0.0503,-0.236,0.1444
10.38,-0.0304,-0.1442,0.1005,0.1134
10.4,-0.3272,-0.1268,-0.1926,0.0699
10.42,0.0721,0.0314,0.0549,0.0717
10.44,-0.2317,0.1943,-0.0992,-0.0411
10.46,0.088,0.0287,0.0463,-0.0591
10.48,0.2392,-0.0731,-0.0067,0.0813
10.5,-0.1546,0.0437,0.1545,0.008
10.52,-0.2964,-0.1062,-0.0314,-0.1195
10.54,0.1278,0.0663,0.0956,0.075
10.56,0.0419,-0.0366,-0.1364,0.068
10.58,0.0616,-0.0413,-0.0876,0.2169
10.6,-0.0257,0.1674,0.0034,-0.1468
10.62,-0.0382,-0.0854,-0.2066,-0.2129
10.64,-0.0993,0.1029,0.0524,0.0995
10.66,0.0022,0.1014,-0.0613,-0.3147
10.68,-0.0361,0.0049,-0.0715,0.1316
10.7,-0.3072,-0.0221,0.0975,0.2673
10.72,0.2338,-0.0884,-0.0051,0.0853
10.74,0.2344,-0.158,0.1444,-0.1562
10.76,0.1763,0.1856,0.0472,-0.0537
10.78,-0.2982,-0.0689,0.1905,0.0827
10.8,0.0941,0.0172,-0.0432,-0.002
10.82,0.0433,0.009,0.0044,0.2717
10.84,0.2448,0.101,0.1927,-0.068
10.86,-0.03,0.158,-0.1756,0.0252
10.88,0.0413,-0.0676,-0.2369,-0.1644
