sample_id,noise_level,target_snr_db,method,truth_p_s,truth_s_s,p_label_status,s_label_status,p_time_s,s_time_s,abstained,correct,unsafe_error,intercepted_or_correct
XO.LT17..HH.2018.05.19.22.03.45,L2,5.0,single_model,44.99,56.98,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.22.03.45,L2,5.0,highest_confidence,44.99,56.98,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.22.03.45,L2,5.0,trust_layer,44.99,56.98,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.22.03.45,L3,2.0,single_model,44.99,56.98,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.22.03.45,L3,2.0,highest_confidence,44.99,56.98,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.19.22.03.45,L3,2.0,trust_layer,44.99,56.98,automatic,manual,,,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L0,original,single_model,44.99,58.13,automatic,automatic,45.02,58.06,0,1,0,1
XO.LT17..HH.2018.05.20.00.22.24,L0,original,highest_confidence,44.99,58.13,automatic,automatic,45.02,57.65,0,1,0,1
XO.LT17..HH.2018.05.20.00.22.24,L0,original,trust_layer,44.99,58.13,automatic,automatic,,57.855000000000004,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L1,10.0,single_model,44.99,58.13,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L1,10.0,highest_confidence,44.99,58.13,automatic,automatic,,58.54,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L1,10.0,trust_layer,44.99,58.13,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L2,5.0,single_model,44.99,58.13,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L2,5.0,highest_confidence,44.99,58.13,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L2,5.0,trust_layer,44.99,58.13,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L3,2.0,single_model,44.99,58.13,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L3,2.0,highest_confidence,44.99,58.13,automatic,automatic,,56.11,1,0,0,1
XO.LT17..HH.2018.05.20.00.22.24,L3,2.0,trust_layer,44.99,58.13,automatic,automatic,,,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L0,original,single_model,45.0,70.45,manual,automatic,45.09,46.09,0,0,1,0
XO.LA33..HH.2018.05.21.19.58.59,L0,original,highest_confidence,45.0,70.45,manual,automatic,45.09,46.09,0,0,1,0
XO.LA33..HH.2018.05.21.19.58.59,L0,original,trust_layer,45.0,70.45,manual,automatic,45.05500000000001,,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L1,10.0,single_model,45.0,70.45,manual,automatic,,71.03,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L1,10.0,highest_confidence,45.0,70.45,manual,automatic,,71.03,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L1,10.0,trust_layer,45.0,70.45,manual,automatic,,71.095,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L2,5.0,single_model,45.0,70.45,manual,automatic,,,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L2,5.0,highest_confidence,45.0,70.45,manual,automatic,,,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L2,5.0,trust_layer,45.0,70.45,manual,automatic,,,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L3,2.0,single_model,45.0,70.45,manual,automatic,,,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L3,2.0,highest_confidence,45.0,70.45,manual,automatic,,70.96,1,0,0,1
XO.LA33..HH.2018.05.21.19.58.59,L3,2.0,trust_layer,45.0,70.45,manual,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L0,original,single_model,44.99,56.52,automatic,automatic,44.51,56.47,0,1,0,1
XO.LT17..HH.2018.05.22.23.57.56,L0,original,highest_confidence,44.99,56.52,automatic,automatic,44.51,56.47,0,1,0,1
XO.LT17..HH.2018.05.22.23.57.56,L0,original,trust_layer,44.99,56.52,automatic,automatic,,56.445,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L1,10.0,single_model,44.99,56.52,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L1,10.0,highest_confidence,44.99,56.52,automatic,automatic,,80.85,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L1,10.0,trust_layer,44.99,56.52,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L2,5.0,single_model,44.99,56.52,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L2,5.0,highest_confidence,44.99,56.52,automatic,automatic,,52.17,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L2,5.0,trust_layer,44.99,56.52,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L3,2.0,single_model,44.99,56.52,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L3,2.0,highest_confidence,44.99,56.52,automatic,automatic,,,1,0,0,1
XO.LT17..HH.2018.05.22.23.57.56,L3,2.0,trust_layer,44.99,56.52,automatic,automatic,,,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L0,original,single_model,44.99000343246732,58.21000444107408,automatic,manual,44.84,58.36,0,1,0,1
XO.LT04..HH.2018.05.25.08.10.32,L0,original,highest_confidence,44.99000343246732,58.21000444107408,automatic,manual,44.84,58.36,0,1,0,1
XO.LT04..HH.2018.05.25.08.10.32,L0,original,trust_layer,44.99000343246732,58.21000444107408,automatic,manual,,58.364999999999995,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L1,10.0,single_model,44.99000343246732,58.21000444107408,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L1,10.0,highest_confidence,44.99000343246732,58.21000444107408,automatic,manual,,9.76,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L1,10.0,trust_layer,44.99000343246732,58.21000444107408,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L2,5.0,single_model,44.99000343246732,58.21000444107408,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L2,5.0,highest_confidence,44.99000343246732,58.21000444107408,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L2,5.0,trust_layer,44.99000343246732,58.21000444107408,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L3,2.0,single_model,44.99000343246732,58.21000444107408,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L3,2.0,highest_confidence,44.99000343246732,58.21000444107408,automatic,manual,,146.4,1,0,0,1
XO.LT04..HH.2018.05.25.08.10.32,L3,2.0,trust_layer,44.99000343246732,58.21000444107408,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.08.40.15,L0,original,single_model,44.99000343246732,52.26000398712475,automatic,manual,44.94,52.36,0,1,0,1
XO.LT04..HH.2018.05.25.08.40.15,L0,original,highest_confidence,44.99000343246732,52.26000398712475,automatic,manual,44.94,52.36,0,1,0,1
XO.LT04..HH.2018.05.25.08.40.15,L0,original,trust_layer,44.99000343246732,52.26000398712475,automatic,manual,44.980000000000004,52.235,0,1,0,1
XO.LT04..HH.2018.05.25.08.40.15,L1,10.0,single_model,44.99000343246732,52.26000398712475,automatic,manual,35.84,52.37,0,0,1,0
XO.LT04..HH.2018.05.25.08.40.15,L1,10.0,highest_confidence,44.99000343246732,52.26000398712475,automatic,manual,35.84,52.37,0,0,1,0
XO.LT04..HH.2018.05.25.08.40.15,L1,10.0,trust_layer,44.99000343246732,52.26000398712475,automatic,manual,,52.28,1,0,0,1
XO.LT04..HH.2018.05.25.08.40.15,L2,5.0,single_model,44.99000343246732,52.26000398712475,automatic,manual,,52.37,1,0,0,1
XO.LT04..HH.2018.05.25.08.40.15,L2,5.0,highest_confidence,44.99000343246732,52.26000398712475,automatic,manual,,52.37,1,0,0,1
XO.LT04..HH.2018.05.25.08.40.15,L2,5.0,trust_layer,44.99000343246732,52.26000398712475,automatic,manual,,52.325,1,0,0,1
XO.LT04..HH.2018.05.25.08.40.15,L3,2.0,single_model,44.99000343246732,52.26000398712475,automatic,manual,39.9,52.44,0,0,1,0
XO.LT04..HH.2018.05.25.08.40.15,L3,2.0,highest_confidence,44.99000343246732,52.26000398712475,automatic,manual,39.9,52.44,0,0,1,0
XO.LT04..HH.2018.05.25.08.40.15,L3,2.0,trust_layer,44.99000343246732,52.26000398712475,automatic,manual,,52.43,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L0,original,single_model,44.99000343246732,75.20000573730924,automatic,manual,44.97,75.4,0,1,0,1
XO.LT04..HH.2018.05.25.12.35.31,L0,original,highest_confidence,44.99000343246732,75.20000573730924,automatic,manual,44.97,75.4,0,1,0,1
XO.LT04..HH.2018.05.25.12.35.31,L0,original,trust_layer,44.99000343246732,75.20000573730924,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L1,10.0,single_model,44.99000343246732,75.20000573730924,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L1,10.0,highest_confidence,44.99000343246732,75.20000573730924,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L1,10.0,trust_layer,44.99000343246732,75.20000573730924,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L2,5.0,single_model,44.99000343246732,75.20000573730924,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L2,5.0,highest_confidence,44.99000343246732,75.20000573730924,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L2,5.0,trust_layer,44.99000343246732,75.20000573730924,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L3,2.0,single_model,44.99000343246732,75.20000573730924,automatic,manual,,,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L3,2.0,highest_confidence,44.99000343246732,75.20000573730924,automatic,manual,,24.31,1,0,0,1
XO.LT04..HH.2018.05.25.12.35.31,L3,2.0,trust_layer,44.99000343246732,75.20000573730924,automatic,manual,,,1,0,0,1
XO.LA23..HH.2018.05.27.18.30.11,L0,original,single_model,44.99,57.08,manual,manual,44.52,57.55,0,1,0,1
XO.LA23..HH.2018.05.27.18.30.11,L0,original,highest_confidence,44.99,57.08,manual,manual,44.52,57.55,0,1,0,1
XO.LA23..HH.2018.05.27.18.30.11,L0,original,trust_layer,44.99,57.08,manual,manual,44.49,,1,0,0,1
XO.LA23..HH.2018.05.27.18.30.11,L1,10.0,single_model,44.99,57.08,manual,manual,44.6,45.19,0,0,1,0
XO.LA23..HH.2018.05.27.18.30.11,L1,10.0,highest_confidence,44.99,57.08,manual,manual,44.44,45.19,0,0,1,0
XO.LA23..HH.2018.05.27.18.30.11,L1,10.0,trust_layer,44.99,57.08,manual,manual,44.519999999999996,,1,0,0,1
XO.LA23..HH.2018.05.27.18.30.11,L2,5.0,single_model,44.99,57.08,manual,manual,,57.61,1,0,0,1
XO.LA23..HH.2018.05.27.18.30.11,L2,5.0,highest_confidence,44.99,57.08,manual,manual,44.43,57.61,0,0,1,0
XO.LA23..HH.2018.05.27.18.30.11,L2,5.0,trust_layer,44.99,57.08,manual,manual,,,1,0,0,1
XO.LA23..HH.2018.05.27.18.30.11,L3,2.0,single_model,44.99,57.08,manual,manual,,,1,0,0,1
XO.LA23..HH.2018.05.27.18.30.11,L3,2.0,highest_confidence,44.99,57.08,manual,manual,44.48,,1,0,0,1
XO.LA23..HH.2018.05.27.18.30.11,L3,2.0,trust_layer,44.99,57.08,manual,manual,,,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L0,original,single_model,44.99,54.9,automatic,manual,44.93,54.99,0,1,0,1
XO.LT13..HH.2018.05.27.23.08.14,L0,original,highest_confidence,44.99,54.9,automatic,manual,44.93,54.99,0,1,0,1
XO.LT13..HH.2018.05.27.23.08.14,L0,original,trust_layer,44.99,54.9,automatic,manual,,54.865,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L1,10.0,single_model,44.99,54.9,automatic,manual,,55.42,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L1,10.0,highest_confidence,44.99,54.9,automatic,manual,,55.42,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L1,10.0,trust_layer,44.99,54.9,automatic,manual,,55.25,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L2,5.0,single_model,44.99,54.9,automatic,manual,,,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L2,5.0,highest_confidence,44.99,54.9,automatic,manual,,54.63,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L2,5.0,trust_layer,44.99,54.9,automatic,manual,,,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L3,2.0,single_model,44.99,54.9,automatic,manual,,,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L3,2.0,highest_confidence,44.99,54.9,automatic,manual,,56.11,1,0,0,1
XO.LT13..HH.2018.05.27.23.08.14,L3,2.0,trust_layer,44.99,54.9,automatic,manual,,,1,0,0,1
XO.LA29..HH.2018.05.28.09.24.23,L0,original,single_model,44.999996566950266,53.339995930691714,manual,manual,45.14,53.49,0,1,0,1
XO.LA29..HH.2018.05.28.09.24.23,L0,original,highest_confidence,44.999996566950266,53.339995930691714,manual,manual,45.14,53.49,0,1,0,1
XO.LA29..HH.2018.05.28.09.24.23,L0,original,trust_layer,44.999996566950266,53.339995930691714,manual,manual,45.08,53.44,0,1,0,1
XO.LA29..HH.2018.05.28.09.24.23,L1,10.0,single_model,44.999996566950266,53.339995930691714,manual,manual,,53.51,1,0,0,1
XO.LA29..HH.2018.05.28.09.24.23,L1,10.0,highest_confidence,44.999996566950266,53.339995930691714,manual,manual,,53.51,1,0,0,1
XO.LA29..HH.2018.05.28.09.24.23,L1,10.0,trust_layer,44.999996566950266,53.339995930691714,manual,manual,,53.489999999999995,1,0,0,1
XO.LA29..HH.2018.05.28.09.24.23,L2,5.0,single_model,44.999996566950266,53.339995930691714,manual,manual,,53.53,1,0,0,1
XO.LA29..HH.2018.05.28.09.24.23,L2,5.0,highest_confidence,44.999996566950266,53.339995930691714,manual,manual,,53.53,1,0,0,1
XO.LA29..HH.2018.05.28.09.24.23,L2,5.0,trust_layer,44.999996566950266,53.339995930691714,manual,manual,,53.525000000000006,1,0,0,1
XO.LA29..HH.2018.05.28.09.24.23,L3,2.0,single_model,44.999996566950266,53.339995930691714,manual,manual,,53.51,1,0,0,1
XO.LA29..HH.2018.05.28.09.24.23,L3,2.0,highest_confidence,44.999996566950266,53.339995930691714,manual,manual,,53.51,1,0,0,1
XO.LA29..HH.2018.05.28.09.24.23,L3,2.0,trust_layer,44.999996566950266,53.339995930691714,manual,manual,,53.51,1,0,0,1
XO.LA32..HH.2018.05.28.09.24.25,L0,original,single_model,44.999996566950266,55.10999579565842,manual,manual,44.91,55.25,0,1,0,1
XO.LA32..HH.2018.05.28.09.24.25,L0,original,highest_confidence,44.999996566950266,55.10999579565842,manual,manual,44.91,55.25,0,1,0,1
XO.LA32..HH.2018.05.28.09.24.25,L0,original,trust_layer,44.999996566950266,55.10999579565842,manual,manual,44.965,55.129999999999995,0,1,0,1
XO.LA32..HH.2018.05.28.09.24.25,L1,10.0,single_model,44.999996566950266,55.10999579565842,manual,manual,,,1,0,0,1
XO.LA32..HH.2018.05.28.09.24.25,L1,10.0,highest_confidence,44.999996566950266,55.10999579565842,manual,manual,,,1,0,0,1
XO.LA32..HH.2018.05.28.09.24.25,L1,10.0,trust_layer,44.999996566950266,55.10999579565842,manual,manual,,,1,0,0,1
