sample_id,snr_db,gap_ratio,clipping_ratio,available_channels,missing_channels,status
XO.LD41..HH.2018.05.25.05.36.36,11.6,0.25,0.0005,Z|N|E,,OK
XO.LT04..HH.2018.05.25.08.10.32,2.7,0.0,0.0007,Z|N|E|H,,OK
XO.LT04..HH.2018.05.25.08.40.15,3.1,0.0,0.0001,Z|N|E|H,,OK
XO.LT18..HH.2018.05.26.11.55.24,10.5,0.25,0.0028,Z|N|H,E,OK
XO.LD44..HH.2018.05.26.11.58.59,11.0,0.25,0.0001,Z|N|E,,OK
XO.LA33..HH.2018.05.26.11.59.11,2.2,0.0,0.0007,Z|N|E|H,,OK
XO.LD38..HH.2018.05.26.19.37.24,13.6,0.25,0.0001,Z|N|E,,OK
XO.LD41..HH.2018.05.26.10.39.55,12.0,0.25,0.0003,Z|N|E,,OK
XO.LD40..HH.2018.05.26.14.57.05,16.5,0.25,0.0028,Z|N|E,,OK
XO.LD41..HH.2018.05.27.16.25.34,12.5,0.25,0.0001,Z|N|E,,OK
XO.LA23..HH.2018.05.27.18.30.11,8.4,0.0,0.0002,Z|N|E|H,,OK
XO.LT06..HH.2018.05.27.18.30.20,15.2,0.25,0.0004,Z|N|H,E,OK
XO.LA29..HH.2018.05.27.18.30.30,6.1,0.0,0.0013,Z|N|E|H,,OK
XO.LT20..HH.2018.05.27.14.38.01,13.3,0.25,0.0007,Z|N|E,,OK
XO.LA32..HH.2018.05.28.07.33.19,11.3,0.0,0.0013,Z|N|E|H,,OK
XO.LT20..HH.2018.05.28.07.32.51,15.1,0.25,0.0022,Z|N|E,,OK
XO.LD40..HH.2018.05.28.04.25.32,13.3,0.25,0.0007,Z|N|E,,OK
XO.LT01..HH.2018.05.28.08.07.29,14.5,0.0,0.0014,Z|N|E|H,,OK
XO.LD41..HH.2018.05.28.12.50.00,20.2,0.25,0.0006,Z|N|E,,OK
XO.LA39..HH.2018.05.28.12.49.32,4.4,0.0,0.0005,Z|N|E|H,,OK
XO.LD38..HH.2018.05.29.03.57.24,13.8,0.25,0.0022,Z|N|E,,OK
XO.LT20..HH.2018.05.29.21.25.20,13.1,0.25,0.0003,Z|N|E,,OK
XO.LT06..HH.2018.05.29.04.40.08,13.6,0.25,0.0011,Z|N|H,E,OK
XO.LT04..HH.2018.05.29.04.40.11,4.2,0.0,0.0003,Z|N|E|H,,OK
XO.LT07..HH.2018.05.29.04.40.03,11.9,0.0,0.0005,Z|N|E|H,,OK
XO.LA39..HH.2018.05.29.10.05.54,8.1,0.0,0.0003,Z|N|E|H,,OK
XO.LT16..HH.2018.05.30.02.35.18,23.3,0.75,0.0005,Z|H,N|E,OK
XO.LA26..HH.2018.05.30.02.35.28,3.5,0.0,0.0003,Z|N|E|H,,OK
XO.LT20..HH.2018.05.30.02.35.41,13.3,0.25,0.0009,Z|N|E,,OK
XO.LA39..HH.2018.05.30.05.12.11,11.2,0.0,0.0006,Z|N|E|H,,OK
XO.LD41..HH.2018.05.30.20.36.25,13.1,0.25,0.0001,Z|N|E,,OK
XO.LA39..HH.2018.05.30.08.25.25,7.6,0.0,0.0007,Z|N|E|H,,OK
XO.LT01..HH.2018.05.30.09.48.51,9.7,0.0,0.0023,Z|N|E|H,,OK
XO.LA39..HH.2018.05.30.10.57.15,5.3,0.0,0.0006,Z|N|E|H,,OK
XO.LD41..HH.2018.05.30.15.34.41,12.2,0.25,0.0006,Z|N|E,,OK
XO.LA39..HH.2018.05.30.19.04.27,9.9,0.0,0.0003,Z|N|E|H,,OK
XO.LA39..HH.2018.05.30.21.27.46,7.2,0.0,0.0009,Z|N|E|H,,OK
XO.LT04..HH.2018.05.31.01.58.18,5.7,0.0,0.0008,Z|N|E|H,,OK
XO.LD40..HH.2018.05.31.08.14.27,13.0,0.25,0.0005,Z|N|E,,OK
XO.LT06..HH.2018.05.31.10.11.26,13.7,0.25,0.0029,Z|N|H,E,OK
XO.LD40..HH.2018.05.31.19.02.50,10.7,0.25,0.0007,Z|N|E,,OK
XO.LT18..HH.2018.05.31.17.51.09,13.9,0.25,0.0059,Z|N|H,E,OK
XO.LD41..HH.2018.05.25.12.35.29,11.3,0.25,0.0005,Z|N|E,,OK
XO.LT04..HH.2018.05.25.12.35.31,3.5,0.0,0.0008,Z|N|E|H,,OK
XO.LT01..HH.2018.05.25.23.04.56,8.0,0.0,0.0013,Z|N|E|H,,OK
XO.LD38..HH.2018.05.27.10.36.29,14.2,0.25,0.0001,Z|N|E,,OK
XO.LA39..HH.2018.05.29.06.56.15,8.2,0.0,0.0009,Z|N|E|H,,OK
XO.LT14..HH.2018.05.30.01.52.09,17.9,0.25,0.0027,Z|N|H,E,OK
XO.LA28..HH.2018.05.30.01.52.24,11.5,0.25,0.0007,Z|N|H,E,OK
XO.LA39..HH.2018.05.30.08.39.12,6.0,0.0,0.0004,Z|N|E|H,,OK
XO.LD36..HH.2018.05.29.00.36.40,13.1,0.25,0.0009,Z|N|E,,OK
XO.LD41..HH.2018.05.29.07.10.38,13.3,0.25,0.0006,Z|N|E,,OK
XO.LT06..HH.2018.05.29.15.14.24,13.7,0.25,0.0019,Z|N|H,E,OK
XO.LT10..HH.2018.05.29.15.14.28,2.8,0.0,0.0005,Z|N|E|H,,OK
XO.LD38..HH.2018.05.29.16.20.11,16.4,0.25,0.0001,Z|N|E,,OK
XO.LA32..HH.2018.05.29.23.28.31,7.4,0.0,0.0016,Z|N|E|H,,OK
XO.LT09..HH.2018.05.28.09.24.23,5.3,0.0,0.0029,Z|N|E|H,,OK
XO.LA29..HH.2018.05.28.09.24.23,4.4,0.0,0.0005,Z|N|E|H,,OK
XO.LA32..HH.2018.05.28.09.24.25,9.5,0.0,0.0007,Z|N|E|H,,OK
XO.LT06..HH.2018.05.28.18.47.03,16.3,0.25,0.0008,Z|N|H,E,OK
XO.LT04..HH.2018.05.28.22.01.04,10.4,0.0,0.0007,Z|N|E|H,,OK
XO.LD38..HH.2018.05.27.04.41.02,12.1,0.25,0.0011,Z|N|E,,OK
XO.LA21..HH.2018.05.27.04.41.09,9.2,0.25,0.0002,Z|N|H,E,OK
XO.LA25..HH.2018.05.27.04.41.28,12.6,0.25,0.0008,Z|N|H,E,OK
XO.LD40..HH.2018.05.27.15.40.08,11.5,0.25,0.0005,Z|N|E,,OK
XO.LD40..HH.2018.05.27.17.21.08,11.0,0.25,0.0007,Z|N|E,,OK
XO.LT13..HH.2018.05.27.23.08.14,0.7,0.0,0.0005,Z|N|E|H,,OK
XO.LT07..HH.2018.05.24.21.33.57,5.3,0.0,0.0006,Z|N|E|H,,OK
XO.LD36..HH.2018.05.22.02.27.39,11.4,0.25,0.0006,Z|N|E,,OK
XO.LT16..HH.2018.05.22.12.36.22,24.1,0.0,0.0007,Z|N|E|H,,OK
XO.LT10..HH.2018.05.18.16.34.36,6.7,0.0,0.0009,Z|N|E|H,,OK
XO.LT10..HH.2018.05.16.21.10.06,6.4,0.0,0.0011,Z|N|E|H,,OK
XO.LD36..HH.2018.05.15.12.37.51,14.1,0.25,0.0007,Z|N|E,,OK
XO.LT17..HH.2018.06.01.15.49.14,0.3,0.0,0.0005,Z|N|E|H,,OK
XO.LA39..HH.2018.06.01.17.32.37,10.3,0.0,0.0001,Z|N|E|H,,OK
XO.LT04..HH.2018.06.01.18.12.44,4.4,0.0,0.0004,Z|N|E|H,,OK
XO.LD40..HH.2018.06.01.18.41.12,15.6,0.25,0.0004,Z|N|E,,OK
XO.LA39..HH.2018.06.01.18.41.15,4.6,0.0,0.0001,Z|N|E|H,,OK
XO.LA23..HH.2018.06.01.18.42.04,0.5,0.0,0.0008,Z|N|E|H,,OK
XO.LA39..HH.2018.06.01.22.02.14,9.0,0.0,0.0001,Z|N|E|H,,OK
XO.LT04..HH.2018.06.01.22.02.35,5.3,0.0,0.0003,Z|N|E|H,,OK
XO.LD40..HH.2018.06.01.18.36.01,13.3,0.25,0.0007,Z|N|E,,OK
XO.LA25..HH.2018.06.01.20.34.52,12.4,0.25,0.0003,Z|N|H,E,OK
XO.LT13..HH.2018.06.01.20.34.56,1.3,0.0,0.0004,Z|N|E|H,,OK
XO.LT04..HH.2018.06.01.20.35.06,5.3,0.0,0.0005,Z|N|E|H,,OK
XO.LA28..HH.2018.06.01.20.35.12,13.8,0.25,0.0005,Z|N|H,E,OK
XO.LT16..HH.2018.06.01.20.34.51,22.7,0.75,0.0005,Z|H,N|E,OK
XO.LA39..HH.2018.06.01.21.46.51,8.5,0.0,0.0015,Z|N|E|H,,OK
XO.LT04..HH.2018.06.02.13.39.17,5.2,0.0,0.0011,Z|N|E|H,,OK
XO.LD40..HH.2018.06.02.15.35.07,11.1,0.25,0.0001,Z|N|E,,OK
XO.LT01..HH.2018.06.02.15.44.09,11.1,0.0,0.002,Z|N|E|H,,OK
XO.LA39..HH.2018.06.02.20.17.45,7.3,0.0,0.0002,Z|N|E|H,,OK
XO.LT01..HH.2018.06.02.21.04.45,8.7,0.0,0.0019,Z|N|E|H,,OK
XO.LA39..HH.2018.06.02.13.10.54,8.5,0.0,0.0001,Z|N|E|H,,OK
XO.LT04..HH.2018.06.02.19.17.37,6.8,0.0,0.0007,Z|N|E|H,,OK
XO.LT06..HH.2018.06.03.04.44.01,13.0,0.25,0.0011,Z|N|H,E,OK
XO.LA39..HH.2018.06.03.07.11.07,5.7,0.0,0.0005,Z|N|E|H,,OK
XO.LD40..HH.2018.06.03.16.09.02,10.8,0.25,0.0003,Z|N|E,,OK
XO.LT01..HH.2018.06.03.16.08.35,11.3,0.0,0.0021,Z|N|E|H,,OK
XO.LD38..HH.2018.06.03.21.07.13,12.1,0.25,0.0003,Z|N|E,,OK
XO.LD41..HH.2018.06.03.05.04.35,9.6,0.25,0.0006,Z|N|E,,OK
XO.LD38..HH.2018.06.03.06.45.02,11.0,0.25,0.0017,Z|N|E,,OK
XO.LT18..HH.2018.06.03.08.02.03,10.9,0.25,0.0005,Z|N|H,E,OK
XO.LA29..HH.2018.06.03.08.02.25,5.8,0.0,0.0005,Z|N|E|H,,OK
XO.LD41..HH.2018.06.03.21.56.35,11.9,0.25,0.0003,Z|N|E,,OK
XO.LT14..HH.2018.06.04.05.38.19,17.9,0.25,0.0033,Z|N|H,E,OK
XO.LT06..HH.2018.06.04.07.27.46,13.9,0.25,0.0008,Z|N|H,E,OK
XO.LA39..HH.2018.06.04.08.53.49,7.7,0.0,0.0002,Z|N|E|H,,OK
XO.LD40..HH.2018.06.04.08.53.55,12.6,0.25,0.0001,Z|N|E,,OK
XO.LT01..HH.2018.06.04.08.53.58,10.5,0.0,0.0024,Z|N|E|H,,OK
XO.LA25..HH.2018.06.04.11.08.53,14.1,0.25,0.0011,Z|N|H,E,OK
XO.LT06..HH.2018.06.04.11.08.54,14.3,0.25,0.0031,Z|N|H,E,OK
XO.LD40..HH.2018.06.04.14.18.52,13.5,0.25,0.0009,Z|N|E,,OK
XO.LD41..HH.2018.06.04.23.19.16,9.9,0.25,0.0001,Z|N|E,,OK
XO.LT01..HH.2018.06.04.23.19.36,10.4,0.0,0.0025,Z|N|E|H,,OK
XO.LT04..HH.2018.06.04.07.08.50,6.7,0.0,0.0007,Z|N|E|H,,OK
XO.LA39..HH.2018.06.04.09.04.57,6.9,0.0,0.0008,Z|N|E|H,,OK
XO.LA39..HH.2018.06.04.09.06.39,8.1,0.0,0.0003,Z|N|E|H,,OK
XO.LT01..HH.2018.06.04.11.30.33,8.0,0.0,0.0022,Z|N|E|H,,OK
XO.LT17..HH.2018.06.05.18.26.28,0.3,0.0,0.0007,Z|N|E|H,,OK
XO.LD40..HH.2018.06.05.13.17.40,13.9,0.25,0.0004,Z|N|E,,OK
XO.LA39..HH.2018.06.05.14.06.23,8.0,0.0,0.0002,Z|N|E|H,,OK
XO.LD36..HH.2018.06.05.15.48.02,16.7,0.25,0.0017,Z|N|E,,OK
XO.LD41..HH.2018.06.05.15.48.13,10.9,0.25,0.0002,Z|N|E,,OK
XO.LD38..HH.2018.06.06.02.46.26,13.9,0.25,0.0007,Z|N|E,,OK
XO.LT07..HH.2018.06.06.09.33.43,9.5,0.0,0.0003,Z|N|E|H,,OK
XO.LT01..HH.2018.06.07.03.06.19,11.2,0.0,0.002,Z|N|E|H,,OK
XO.LT04..HH.2018.06.07.03.06.30,4.3,0.0,0.0005,Z|N|E|H,,OK
XO.LD40..HH.2018.06.07.08.49.44,12.7,0.25,0.0008,Z|N|E,,OK
XO.LT20..HH.2018.06.07.12.05.57,12.0,0.25,0.0003,Z|N|E,,OK
XO.LD38..HH.2018.06.07.16.10.19,13.6,0.25,0.0007,Z|N|E,,OK
XO.LT04..HH.2018.06.07.00.12.59,4.1,0.0,0.0006,Z|N|E|H,,OK
XO.LD40..HH.2018.06.07.01.10.09,10.8,0.25,0.0003,Z|N|E,,OK
XO.LT01..HH.2018.06.07.04.18.38,9.4,0.0,0.0009,Z|N|E|H,,OK
XO.LT01..HH.2018.06.07.05.19.07,7.6,0.0,0.0029,Z|N|E|H,,OK
XO.LT01..HH.2018.06.07.07.54.27,9.9,0.0,0.0013,Z|N|E|H,,OK
XO.LA39..HH.2018.06.07.09.02.11,6.6,0.0,0.0009,Z|N|E|H,,OK
XO.LT16..HH.2018.06.07.10.21.53,25.3,0.0,0.0009,Z|N|E|H,,OK
XO.LT14..HH.2018.06.07.10.21.56,12.3,0.25,0.0062,Z|N|H,E,OK
XO.LD41..HH.2018.06.07.10.22.20,12.8,0.25,0.0008,Z|N|E,,OK
XO.LT06..HH.2018.06.07.14.11.41,15.6,0.25,0.0045,Z|N|H,E,OK
XO.LA34..HH.2018.06.07.18.32.01,7.2,0.0,0.0024,Z|N|E|H,,OK
XO.LA28..HH.2018.06.07.18.32.07,12.9,0.25,0.0011,Z|N|H,E,OK
XO.LA29..HH.2018.06.07.18.32.42,2.9,0.0,0.0007,Z|N|E|H,,OK
XO.LD40..HH.2018.06.07.20.53.26,9.7,0.25,0.0006,Z|N|E,,OK
XO.LT13..HH.2018.06.07.22.52.30,1.1,0.0,0.0007,Z|N|E|H,,OK
XO.LA39..HH.2018.06.09.08.03.20,7.8,0.0,0.0013,Z|N|E|H,,OK
XO.LD40..HH.2018.06.09.09.54.02,8.9,0.25,0.0005,Z|N|E,,OK
XO.LD40..HH.2018.06.09.14.56.05,13.1,0.25,0.0011,Z|N|E,,OK
XO.LA39..HH.2018.06.09.08.43.43,6.6,0.0,0.001,Z|N|E|H,,OK
XO.LA39..HH.2018.06.09.09.39.43,7.2,0.0,0.0008,Z|N|E|H,,OK
XO.LD40..HH.2018.06.09.12.03.23,14.3,0.25,0.0031,Z|N|E,,OK
XO.LA39..HH.2018.06.09.16.14.01,6.5,0.0,0.0003,Z|N|E|H,,OK
XO.LT18..HH.2018.06.09.17.49.02,15.9,0.25,0.0033,Z|N|H,E,OK
XO.LT17..HH.2018.06.09.17.49.04,3.3,0.0,0.0005,Z|N|E|H,,OK
XO.LA28..HH.2018.06.09.23.45.12,13.3,0.25,0.005,Z|N|H,E,OK
XO.LD36..HH.2018.06.10.09.41.22,15.7,0.25,0.0023,Z|N|E,,OK
XO.LA39..HH.2018.06.10.18.56.24,8.1,0.0,0.0006,Z|N|E|H,,OK
XO.LT12..HH.2018.06.11.01.19.00,11.5,0.0,0.0448,Z|N|E|H,,OK
XO.LT13..HH.2018.06.11.01.19.05,1.6,0.0,0.0007,Z|N|E|H,,OK
XO.LT16..HH.2018.06.11.01.18.55,23.7,0.0,0.0005,Z|N|E|H,,OK
XO.LA33..HH.2018.06.11.01.19.13,3.4,0.0,0.0007,Z|N|E|H,,OK
XO.LT04..HH.2018.06.11.01.19.42,4.7,0.0,0.0013,Z|N|E|H,,OK
XO.LT06..HH.2018.06.11.16.27.35,15.5,0.25,0.0019,Z|N|H,E,OK
XO.LD36..HH.2018.06.11.16.27.43,12.5,0.25,0.0001,Z|N|E,,OK
XO.LA28..HH.2018.06.11.16.27.43,17.8,0.25,0.0003,Z|N|H,E,OK
XO.LA32..HH.2018.06.11.16.27.47,8.9,0.0,0.0004,Z|N|E|H,,OK
XO.LT18..HH.2018.06.11.16.27.52,13.4,0.25,0.0001,Z|N|H,E,OK
XO.LA39..HH.2018.06.11.04.58.13,3.8,0.0,0.0007,Z|N|E|H,,OK
XO.LD41..HH.2018.06.11.10.42.15,10.5,0.25,0.0008,Z|N|E,,OK
XO.LD41..HH.2018.06.11.11.37.35,10.4,0.25,0.0005,Z|N|E,,OK
XO.LT18..HH.2018.06.11.14.24.15,10.5,0.25,0.0021,Z|N|H,E,OK
XO.LT01..HH.2018.06.12.07.45.33,5.6,0.0,0.0024,Z|N|E|H,,OK
XO.LD40..HH.2018.06.12.11.07.57,12.7,0.25,0.0002,Z|N|E,,OK
XO.LT01..HH.2018.06.12.23.24.29,9.1,0.0,0.0041,Z|N|E|H,,OK
XO.LA39..HH.2018.06.12.02.22.21,3.6,0.0,0.0001,Z|N|E|H,,OK
XO.LT01..HH.2018.06.12.16.24.38,14.8,0.0,0.0035,Z|N|E|H,,OK
XO.LT01..HH.2018.06.12.18.57.46,11.9,0.0,0.0027,Z|N|E|H,,OK
XO.LT04..HH.2018.06.13.07.42.57,7.8,0.0,0.001,Z|N|E|H,,OK
XO.LD38..HH.2018.06.13.18.40.04,12.5,0.25,0.0013,Z|N|E,,OK
XO.LT04..HH.2018.06.13.18.40.27,12.8,0.0,0.0015,Z|N|E|H,,OK
XO.LA39..HH.2018.06.13.05.20.42,6.0,0.0,0.0005,Z|N|E|H,,OK
XO.LT04..HH.2018.06.13.09.46.21,3.8,0.0,0.0012,Z|N|E|H,,OK
XO.LD38..HH.2018.06.13.16.20.04,12.2,0.25,0.0001,Z|N|E,,OK
XO.LT04..HH.2018.06.13.16.20.36,5.2,0.0,0.0005,Z|N|E|H,,OK
XO.LD40..HH.2018.06.13.23.44.16,11.9,0.25,0.0007,Z|N|E,,OK
XO.LT04..HH.2018.06.14.16.48.05,7.4,0.0,0.0013,Z|N|E|H,,OK
XO.LD40..HH.2018.06.14.16.47.48,17.6,0.25,0.0001,Z|N|E,,OK
XO.LT01..HH.2018.06.14.16.47.51,12.6,0.0,0.0003,Z|N|E|H,,OK
XO.LA39..HH.2018.06.15.00.14.28,7.0,0.0,0.0001,Z|N|E|H,,OK
XO.LA39..HH.2018.06.15.00.21.01,8.9,0.0,0.0009,Z|N|E|H,,OK
XO.LT18..HH.2018.06.15.14.32.38,11.7,0.25,0.0023,Z|N|H,E,OK
XO.LA29..HH.2018.06.16.02.51.48,21.3,0.0,0.0007,Z|N|E|H,,OK
XO.LA33..HH.2018.06.16.02.51.50,7.8,0.0,0.0003,Z|N|E|H,,OK
XO.LD45..HH.2018.06.16.02.51.59,11.2,0.25,0.0002,Z|N|E,,OK
XO.LT07..HH.2018.06.16.14.37.30,15.7,0.0,0.0102,Z|N|E|H,,OK
XO.LD40..HH.2018.06.16.18.21.43,10.4,0.25,0.0007,Z|N|E,,OK
XO.LD38..HH.2018.06.17.04.31.57,27.7,0.25,0.0001,Z|N|E,,OK
XO.LT14..HH.2018.06.17.20.38.39,8.9,0.25,0.0025,Z|N|H,E,OK
XO.LT01..HH.2018.06.18.21.45.13,9.1,0.0,0.0013,Z|N|E|H,,OK
XO.LT12..HH.2018.06.18.21.44.44,4.6,0.0,0.0723,Z|N|E|H,,OK
XO.LD40..HH.2018.06.18.21.44.45,9.9,0.25,0.0004,Z|N|E,,OK
XO.LA32..HH.2018.06.18.22.15.30,14.1,0.0,0.0029,Z|N|E|H,,OK
XO.LA39..HH.2018.06.19.19.12.37,6.9,0.0,0.0003,Z|N|E|H,,OK
XO.LT15..HH.2018.06.19.20.20.15,1.2,0.0,0.0001,Z|N|E|H,,OK
XO.LT10..HH.2018.06.19.20.20.27,2.1,0.0,0.001,Z|N|E|H,,OK
XO.LA34..HH.2018.06.19.20.20.37,5.8,0.0,0.0011,Z|N|E|H,,OK
XO.LA33..HH.2018.06.19.12.25.09,3.7,0.0,0.0007,Z|N|E|H,,OK
XO.LA25..HH.2018.06.19.18.55.00,11.6,0.25,0.0012,Z|N|H,E,OK
XO.LD40..HH.2018.06.19.19.45.46,12.3,0.25,0.0004,Z|N|E,,OK
XO.LA39..HH.2018.06.20.11.36.52,3.4,0.0,0.0007,Z|N|E|H,,OK
XO.LT01..HH.2018.06.20.15.31.21,4.8,0.0,0.0015,Z|N|E|H,,OK
XO.LT04..HH.2018.06.20.21.38.21,7.5,0.0,0.0007,Z|N|E|H,,OK
XO.LD36..HH.2018.06.20.21.38.27,13.9,0.25,0.0001,Z|N|E,,OK
XO.LD40..HH.2018.06.20.21.38.34,12.3,0.25,0.0003,Z|N|E,,OK
XO.LT01..HH.2018.06.20.21.38.34,10.2,0.0,0.0022,Z|N|E|H,,OK
XO.LD41..HH.2018.06.20.21.38.40,10.9,0.25,0.0001,Z|N|E,,OK
XO.LA39..HH.2018.06.20.21.38.44,5.5,0.0,0.0005,Z|N|E|H,,OK
XO.LT17..HH.2018.06.20.23.01.47,4.7,0.0,0.0012,Z|N|E|H,,OK
XO.LT09..HH.2018.06.20.04.53.40,12.1,0.0,0.0037,Z|N|E|H,,OK
XO.LA33..HH.2018.06.20.04.54.02,3.5,0.0,0.0005,Z|N|E|H,,OK
XO.LA21..HH.2018.06.20.05.24.43,8.6,0.25,0.0002,Z|N|H,E,OK
XO.LT14..HH.2018.06.20.05.24.56,18.1,0.25,0.0027,Z|N|H,E,OK
XO.LA39..HH.2018.06.20.10.34.37,7.0,0.0,0.0005,Z|N|E|H,,OK
XO.LD40..HH.2018.06.20.10.34.49,10.7,0.25,0.0005,Z|N|E,,OK
XO.LT10..HH.2018.06.20.11.13.26,4.9,0.0,0.0005,Z|N|E|H,,OK
XO.LD40..HH.2018.06.20.11.13.16,14.4,0.25,0.0005,Z|N|E,,OK
XO.LA25..HH.2018.06.20.11.13.35,13.9,0.25,0.0002,Z|N|H,E,OK
XO.LD40..HH.2018.06.20.10.19.47,12.7,0.25,0.0007,Z|N|E,,OK
XO.LT06..HH.2018.06.20.12.57.38,12.4,0.25,0.0012,Z|N|H,E,OK
XO.LT04..HH.2018.06.20.16.18.30,4.3,0.0,0.0006,Z|N|E|H,,OK
XO.LT09..HH.2018.06.20.20.00.10,9.6,0.0,0.0029,Z|N|E|H,,OK
XO.LA39..HH.2018.06.21.11.26.32,5.0,0.0,0.0003,Z|N|E|H,,OK
XO.LA26..HH.2018.06.21.02.35.46,2.1,0.0,0.0001,Z|N|E|H,,OK
XO.LT10..HH.2018.06.21.02.35.55,2.6,0.0,0.0011,Z|N|E|H,,OK
XO.LA29..HH.2018.06.21.02.36.18,7.5,0.0,0.0005,Z|N|E|H,,OK
XO.LA39..HH.2018.06.21.03.49.21,10.8,0.0,0.0007,Z|N|E|H,,OK
XO.LD40..HH.2018.06.21.09.58.37,12.2,0.25,0.0004,Z|N|E,,OK
XO.LT04..HH.2018.06.22.06.57.04,5.1,0.0,0.0006,Z|N|E|H,,OK
XO.LT12..HH.2018.06.22.21.22.21,9.7,0.0,0.0055,Z|N|E|H,,OK
XO.LD41..HH.2018.06.22.03.32.52,10.9,0.25,0.0005,Z|N|E,,OK
XO.LD38..HH.2018.06.22.14.46.31,15.0,0.25,0.0011,Z|N|E,,OK
XO.LT04..HH.2018.06.22.16.56.20,8.3,0.0,0.0005,Z|N|E|H,,OK
XO.LA39..HH.2018.06.23.02.56.00,9.0,0.0,0.0001,Z|N|E|H,,OK
XO.LD40..HH.2018.06.23.09.28.37,12.1,0.25,0.0001,Z|N|E,,OK
