sample_id,chunk,truth_p_s,truth_s_s,phasenet_p,pickblue_p,obst_p
XO.LA29..HH.2018.05.28.09.24.23,201805,45.0,53.34,0,1,1
XO.LA32..HH.2018.05.28.09.24.25,201805,45.0,55.11,0,1,1
XO.LT06..HH.2018.05.28.18.47.03,201805,45.0,53.23,0,1,1
XO.LT04..HH.2018.05.28.22.01.04,201805,44.99,59.39,0,1,1
XO.LD38..HH.2018.05.27.04.41.02,201805,45.0,,0,1,0
XO.LA21..HH.2018.05.27.04.41.09,201805,44.99,63.48,0,1,1
XO.LA25..HH.2018.05.27.04.41.28,201805,,45.0,0,0,1
XO.LD40..HH.2018.05.27.15.40.08,201805,,44.99,0,0,1
XO.LD40..HH.2018.05.27.17.21.08,201805,,44.99,0,0,0
XO.LT13..HH.2018.05.27.23.08.14,201805,44.99,54.9,0,1,1
XO.LT07..HH.2018.05.24.21.33.57,201805,44.99,,0,1,1
XO.LD36..HH.2018.05.22.02.27.39,201805,45.0,78.48,0,1,1
XO.LT16..HH.2018.05.22.12.36.22,201805,45.0,,0,1,1
XO.LT10..HH.2018.05.18.16.34.36,201805,44.99,50.1,0,1,1
XO.LT10..HH.2018.05.16.21.10.06,201805,44.99,56.68,0,1,1
XO.LD36..HH.2018.05.15.12.37.51,201805,45.0,56.36,0,0,1
XO.LT17..HH.2018.06.01.15.49.14,201806,44.99,56.72,0,1,1
XO.LA39..HH.2018.06.01.17.32.37,201806,,44.99,0,0,0
XO.LT04..HH.2018.06.01.18.12.44,201806,44.99,,0,1,1
XO.LD40..HH.2018.06.01.18.41.12,201806,44.99,,0,1,1
XO.LA39..HH.2018.06.01.18.41.15,201806,44.99,57.43,1,1,1
XO.LA23..HH.2018.06.01.18.42.04,201806,,45.0,0,0,1
XO.LA39..HH.2018.06.01.22.02.14,201806,44.99,63.34,0,1,1
XO.LT04..HH.2018.06.01.22.02.35,201806,45.0,79.49,0,1,1
XO.LD40..HH.2018.06.01.18.36.01,201806,,44.99,0,0,0
XO.LA25..HH.2018.06.01.20.34.52,201806,44.99,66.17,0,1,0
XO.LT13..HH.2018.06.01.20.34.56,201806,44.99,67.28,0,1,1
XO.LT04..HH.2018.06.01.20.35.06,201806,,45.0,0,1,1
XO.LA28..HH.2018.06.01.20.35.12,201806,,45.0,0,0,1
XO.LT16..HH.2018.06.01.20.34.51,201806,44.99,,0,1,1
XO.LA39..HH.2018.06.01.21.46.51,201806,,44.99,0,0,1
XO.LT04..HH.2018.06.02.13.39.17,201806,,44.99,0,0,1
XO.LD40..HH.2018.06.02.15.35.07,201806,45.0,68.54,0,1,1
XO.LT01..HH.2018.06.02.15.44.09,201806,,45.0,0,1,1
XO.LA39..HH.2018.06.02.20.17.45,201806,,45.0,0,0,0
XO.LT01..HH.2018.06.02.21.04.45,201806,,44.99,0,1,1
XO.LA39..HH.2018.06.02.13.10.54,201806,,44.99,0,1,1
XO.LT04..HH.2018.06.02.19.17.37,201806,,44.99,0,1,1
XO.LT06..HH.2018.06.03.04.44.01,201806,44.99,63.1,0,1,1
XO.LA39..HH.2018.06.03.07.11.07,201806,44.99,65.4,1,1,1
XO.LD40..HH.2018.06.03.16.09.02,201806,,45.0,0,1,1
XO.LT01..HH.2018.06.03.16.08.35,201806,44.99,73.81,0,0,1
XO.LD38..HH.2018.06.03.21.07.13,201806,44.99,63.23,1,1,1
XO.LD41..HH.2018.06.03.05.04.35,201806,45.0,,0,1,1
XO.LD38..HH.2018.06.03.06.45.02,201806,44.99,,0,1,1
XO.LT18..HH.2018.06.03.08.02.03,201806,44.99,,0,1,1
XO.LA29..HH.2018.06.03.08.02.25,201806,45.0,,0,0,1
XO.LD41..HH.2018.06.03.21.56.35,201806,44.99,74.04,0,1,1
XO.LT14..HH.2018.06.04.05.38.19,201806,44.99,,1,1,1
XO.LT06..HH.2018.06.04.07.27.46,201806,,45.0,1,1,1
XO.LA39..HH.2018.06.04.08.53.49,201806,45.0,60.23,1,1,1
XO.LD40..HH.2018.06.04.08.53.55,201806,45.0,62.19,0,1,0
XO.LT01..HH.2018.06.04.08.53.58,201806,44.99,65.44,0,1,1
XO.LA25..HH.2018.06.04.11.08.53,201806,44.99,73.02,1,1,1
XO.LT06..HH.2018.06.04.11.08.54,201806,,44.99,0,0,1
XO.LD40..HH.2018.06.04.14.18.52,201806,,44.99,0,1,1
XO.LD41..HH.2018.06.04.23.19.16,201806,44.99,,0,1,1
XO.LT01..HH.2018.06.04.23.19.36,201806,,44.99,0,0,1
XO.LT04..HH.2018.06.04.07.08.50,201806,,44.99,1,0,0
XO.LA39..HH.2018.06.04.09.04.57,201806,44.99,60.03,1,1,1
XO.LA39..HH.2018.06.04.09.06.39,201806,,44.99,0,0,1
XO.LT01..HH.2018.06.04.11.30.33,201806,,44.99,0,0,1
XO.LT17..HH.2018.06.05.18.26.28,201806,44.99,56.91,0,1,1
XO.LD40..HH.2018.06.05.13.17.40,201806,,44.99,0,0,0
XO.LA39..HH.2018.06.05.14.06.23,201806,44.99,58.45,0,1,1
XO.LD36..HH.2018.06.05.15.48.02,201806,45.0,62.28,0,1,1
XO.LD41..HH.2018.06.05.15.48.13,201806,44.99,,0,1,1
XO.LD38..HH.2018.06.06.02.46.26,201806,,44.99,0,1,1
XO.LT07..HH.2018.06.06.09.33.43,201806,44.99,59.37,0,1,1
XO.LT01..HH.2018.06.07.03.06.19,201806,,44.99,0,0,1
XO.LT04..HH.2018.06.07.03.06.30,201806,,44.99,0,1,1
XO.LD40..HH.2018.06.07.08.49.44,201806,44.99,69.92,0,1,1
XO.LT20..HH.2018.06.07.12.05.57,201806,44.99,59.84,0,0,1
XO.LD38..HH.2018.06.07.16.10.19,201806,,45.0,1,1,1
XO.LT04..HH.2018.06.07.00.12.59,201806,,44.99,0,1,1
XO.LD40..HH.2018.06.07.01.10.09,201806,,44.99,0,1,1
XO.LT01..HH.2018.06.07.04.18.38,201806,,44.99,0,0,1
XO.LT01..HH.2018.06.07.05.19.07,201806,,45.0,0,0,1
XO.LT01..HH.2018.06.07.07.54.27,201806,,44.99,0,1,1
XO.LA39..HH.2018.06.07.09.02.11,201806,45.0,62.73,0,1,1
XO.LT16..HH.2018.06.07.10.21.53,201806,45.0,55.2,0,1,1
XO.LT14..HH.2018.06.07.10.21.56,201806,44.99,,0,1,1
XO.LD41..HH.2018.06.07.10.22.20,201806,45.0,,0,1,1
XO.LT06..HH.2018.06.07.14.11.41,201806,45.0,51.36,0,1,1
XO.LA34..HH.2018.06.07.18.32.01,201806,45.0,78.24,0,1,1
XO.LA28..HH.2018.06.07.18.32.07,201806,44.99,,0,1,1
XO.LA29..HH.2018.06.07.18.32.42,201806,,45.0,0,1,1
XO.LD40..HH.2018.06.07.20.53.26,201806,,44.99,0,1,0
XO.LT13..HH.2018.06.07.22.52.30,201806,44.99,,0,1,1
XO.LA39..HH.2018.06.09.08.03.20,201806,,45.0,0,1,1
XO.LD40..HH.2018.06.09.09.54.02,201806,44.99,70.08,0,1,1
XO.LD40..HH.2018.06.09.14.56.05,201806,45.0,61.22,0,1,1
XO.LA39..HH.2018.06.09.08.43.43,201806,45.0,59.6,0,1,0
XO.LA39..HH.2018.06.09.09.39.43,201806,,45.0,0,1,1
XO.LD40..HH.2018.06.09.12.03.23,201806,,44.99,0,0,0
XO.LA39..HH.2018.06.09.16.14.01,201806,,44.99,0,0,0
XO.LT18..HH.2018.06.09.17.49.02,201806,45.0,50.75,0,1,1
XO.LT17..HH.2018.06.09.17.49.04,201806,45.0,52.9,0,1,1
XO.LA28..HH.2018.06.09.23.45.12,201806,,44.99,0,0,1
XO.LD36..HH.2018.06.10.09.41.22,201806,,44.99,0,0,1
XO.LA39..HH.2018.06.10.18.56.24,201806,,45.0,0,1,1
XO.LT12..HH.2018.06.11.01.19.00,201806,45.0,64.05,0,1,1
XO.LT13..HH.2018.06.11.01.19.05,201806,45.0,,0,1,1
XO.LT16..HH.2018.06.11.01.18.55,201806,45.0,60.25,0,1,1
XO.LA33..HH.2018.06.11.01.19.13,201806,45.0,,0,1,1
XO.LT04..HH.2018.06.11.01.19.42,201806,,45.0,0,1,1
XO.LT06..HH.2018.06.11.16.27.35,201806,45.0,,0,1,1
XO.LD36..HH.2018.06.11.16.27.43,201806,44.99,68.32,1,1,1
XO.LA28..HH.2018.06.11.16.27.43,201806,44.99,,0,1,1
XO.LA32..HH.2018.06.11.16.27.47,201806,45.0,72.04,0,1,1
XO.LT18..HH.2018.06.11.16.27.52,201806,44.99,,0,1,1
XO.LA39..HH.2018.06.11.04.58.13,201806,,45.0,0,1,1
XO.LD41..HH.2018.06.11.10.42.15,201806,44.99,76.24,0,1,1
XO.LD41..HH.2018.06.11.11.37.35,201806,45.0,,0,1,1
XO.LT18..HH.2018.06.11.14.24.15,201806,44.99,59.76,0,1,1
XO.LT01..HH.2018.06.12.07.45.33,201806,44.99,,0,1,1
XO.LD40..HH.2018.06.12.11.07.57,201806,44.99,66.04,0,1,1
XO.LT01..HH.2018.06.12.23.24.29,201806,45.0,66.61,0,1,1
XO.LA39..HH.2018.06.12.02.22.21,201806,45.0,59.98,0,1,1
XO.LT01..HH.2018.06.12.16.24.38,201806,44.99,69.87,0,1,1
XO.LT01..HH.2018.06.12.18.57.46,201806,,45.0,0,0,1
XO.LT04..HH.2018.06.13.07.42.57,201806,,44.99,0,1,1
XO.LD38..HH.2018.06.13.18.40.04,201806,45.0,54.1,1,1,1
XO.LT04..HH.2018.06.13.18.40.27,201806,44.99,,0,1,1
XO.LA39..HH.2018.06.13.05.20.42,201806,44.99,63.18,0,1,1
XO.LT04..HH.2018.06.13.09.46.21,201806,,44.99,0,1,0
XO.LD38..HH.2018.06.13.16.20.04,201806,,44.99,0,1,1
XO.LT04..HH.2018.06.13.16.20.36,201806,,44.99,0,0,1
XO.LD40..HH.2018.06.13.23.44.16,201806,45.0,,0,1,1
XO.LT04..HH.2018.06.14.16.48.05,201806,44.99,77.83,0,1,1
XO.LD40..HH.2018.06.14.16.47.48,201806,44.99,65.68,0,1,1
XO.LT01..HH.2018.06.14.16.47.51,201806,45.0,66.48,0,1,1
XO.LA39..HH.2018.06.15.00.14.28,201806,45.0,59.92,1,1,1
XO.LA39..HH.2018.06.15.00.21.01,201806,45.0,59.24,0,1,1
XO.LT18..HH.2018.06.15.14.32.38,201806,44.99,,0,1,1
XO.LA29..HH.2018.06.16.02.51.48,201806,45.0,,1,1,1
XO.LA33..HH.2018.06.16.02.51.50,201806,44.99,,0,1,1
XO.LD45..HH.2018.06.16.02.51.59,201806,44.99,78.11,0,1,1
XO.LT07..HH.2018.06.16.14.37.30,201806,45.0,55.69,0,1,1
XO.LD40..HH.2018.06.16.18.21.43,201806,44.99,64.35,0,1,1
XO.LD38..HH.2018.06.17.04.31.57,201806,45.0,61.96,1,1,1
XO.LT14..HH.2018.06.17.20.38.39,201806,44.99,61.24,0,1,1
XO.LT01..HH.2018.06.18.21.45.13,201806,,44.99,0,1,1
XO.LT12..HH.2018.06.18.21.44.44,201806,45.0,76.15,0,1,1
XO.LD40..HH.2018.06.18.21.44.45,201806,44.99,79.1,0,1,1
XO.LA32..HH.2018.06.18.22.15.30,201806,,44.99,0,0,0
XO.LA39..HH.2018.06.19.19.12.37,201806,44.99,60.79,0,1,1
XO.LT15..HH.2018.06.19.20.20.15,201806,44.99,50.2,0,1,1
XO.LT10..HH.2018.06.19.20.20.27,201806,45.0,58.75,0,1,1
XO.LA34..HH.2018.06.19.20.20.37,201806,,44.99,0,0,0
XO.LA33..HH.2018.06.19.12.25.09,201806,,45.0,0,1,1
XO.LA25..HH.2018.06.19.18.55.00,201806,,44.99,0,0,0
XO.LD40..HH.2018.06.19.19.45.46,201806,,44.99,0,0,1
XO.LA39..HH.2018.06.20.11.36.52,201806,45.0,62.75,0,1,1
XO.LT01..HH.2018.06.20.15.31.21,201806,,45.0,0,0,1
XO.LT04..HH.2018.06.20.21.38.21,201806,44.99,55.57,0,1,1
XO.LD36..HH.2018.06.20.21.38.27,201806,45.0,62.43,0,1,1
XO.LD40..HH.2018.06.20.21.38.34,201806,45.0,68.97,1,1,1
XO.LT01..HH.2018.06.20.21.38.34,201806,44.99,,0,1,1
XO.LD41..HH.2018.06.20.21.38.40,201806,44.99,,0,1,1
XO.LA39..HH.2018.06.20.21.38.44,201806,44.99,75.78,0,1,1
XO.LT17..HH.2018.06.20.23.01.47,201806,44.99,,0,0,1
XO.LT09..HH.2018.06.20.04.53.40,201806,,45.0,0,1,1
XO.LA33..HH.2018.06.20.04.54.02,201806,,44.99,0,1,1
XO.LA21..HH.2018.06.20.05.24.43,201806,44.99,61.51,1,1,1
XO.LT14..HH.2018.06.20.05.24.56,201806,45.0,,0,1,1
XO.LA39..HH.2018.06.20.10.34.37,201806,,45.0,0,0,0
XO.LD40..HH.2018.06.20.10.34.49,201806,,45.0,0,1,1
XO.LT10..HH.2018.06.20.11.13.26,201806,44.99,67.06,0,1,1
XO.LD40..HH.2018.06.20.11.13.16,201806,45.0,57.82,0,1,1
XO.LA25..HH.2018.06.20.11.13.35,201806,,44.99,0,1,1
XO.LD40..HH.2018.06.20.10.19.47,201806,,45.0,0,0,0
XO.LT06..HH.2018.06.20.12.57.38,201806,,44.99,0,1,0
XO.LT04..HH.2018.06.20.16.18.30,201806,,44.99,0,0,1
XO.LT09..HH.2018.06.20.20.00.10,201806,45.0,57.46,0,1,1
XO.LA39..HH.2018.06.21.11.26.32,201806,45.0,60.02,0,1,1
XO.LA26..HH.2018.06.21.02.35.46,201806,44.99,60.16,0,1,1
XO.LT10..HH.2018.06.21.02.35.55,201806,45.0,,0,1,1
XO.LA29..HH.2018.06.21.02.36.18,201806,,45.0,0,0,1
XO.LA39..HH.2018.06.21.03.49.21,201806,45.0,59.84,1,1,1
XO.LD40..HH.2018.06.21.09.58.37,201806,,45.0,0,0,1
XO.LT04..HH.2018.06.22.06.57.04,201806,44.99,74.14,0,1,1
XO.LT12..HH.2018.06.22.21.22.21,201806,45.0,,0,1,1
XO.LD41..HH.2018.06.22.03.32.52,201806,,44.99,0,1,1
XO.LD38..HH.2018.06.22.14.46.31,201806,45.0,64.49,0,1,1
XO.LT04..HH.2018.06.22.16.56.20,201806,,44.99,0,1,1
XO.LA39..HH.2018.06.23.02.56.00,201806,44.99,58.91,0,1,1
XO.LD40..HH.2018.06.23.09.28.37,201806,45.0,66.4,0,1,1
XO.LA39..HH.2018.06.23.09.28.49,201806,,45.0,0,1,1
XO.LT06..HH.2018.06.23.11.18.23,201806,44.99,56.88,0,1,1
XO.LT12..HH.2018.06.23.11.18.26,201806,45.0,59.67,0,1,1
XO.LT01..HH.2018.06.23.22.50.12,201806,44.99,68.67,0,1,1
XO.LA39..HH.2018.06.23.22.50.05,201806,44.99,59.4,1,1,1
XO.LD40..HH.2018.06.23.03.58.02,201806,,44.99,0,0,1
XO.LT01..HH.2018.06.23.03.58.04,201806,,45.0,0,1,1
XO.LD40..HH.2018.06.23.09.03.32,201806,,44.99,0,1,1
XO.LD41..HH.2018.06.23.09.03.50,201806,,45.0,0,0,1
XO.LA39..HH.2018.06.23.10.49.45,201806,,44.99,0,0,1
XO.LD41..HH.2018.06.23.10.49.49,201806,45.0,,0,1,1
XO.LD41..HH.2018.06.23.11.26.22,201806,45.0,,0,1,1
XO.LT18..HH.2018.06.23.21.11.07,201806,45.0,,0,1,1
XO.LD41..HH.2018.06.24.21.53.25,201806,45.0,76.64,0,1,1
XO.LD40..HH.2018.06.24.21.53.31,201806,,45.0,0,1,1
XO.LD40..HH.2018.06.24.03.05.14,201806,,45.0,0,0,1
XO.LD40..HH.2018.06.24.06.41.24,201806,44.99,68.51,0,1,1
XO.LD41..HH.2018.06.24.06.41.33,201806,44.99,73.38,0,1,1
XO.LT20..HH.2018.06.24.07.28.52,201806,45.0,51.83,0,1,1
XO.LD40..HH.2018.06.24.11.28.11,201806,,45.0,0,0,0
XO.LA39..HH.2018.06.24.13.18.58,201806,45.0,60.1,1,1,1
XO.LT14..HH.2018.06.24.20.52.29,201806,44.99,,0,1,1
XO.LA39..HH.2018.06.25.06.46.14,201806,,44.99,0,0,1
XO.LA39..HH.2018.06.25.13.30.18,201806,45.0,59.82,0,1,1
XO.LD41..HH.2018.06.25.15.05.48,201806,45.0,,0,1,1
XO.LT18..HH.2018.06.25.20.45.33,201806,45.0,,0,1,1
XO.LT14..HH.2018.06.26.04.06.48,201806,44.99,,1,1,1
XO.LT01..HH.2018.06.26.04.07.06,201806,,44.99,0,1,1
XO.LD45..HH.2018.06.26.23.50.41,201806,45.0,,0,1,1
XO.LD45..HH.2018.06.27.00.26.02,201806,45.0,,0,1,1
XO.LD38..HH.2018.06.27.15.38.33,201806,45.0,62.84,0,1,1
XO.LD40..HH.2018.06.27.15.38.37,201806,45.0,66.23,1,1,1
XO.LD44..HH.2018.06.27.16.31.44,201806,44.99,63.64,1,1,1
XO.LT13..HH.2018.06.27.16.31.58,201806,44.99,,0,1,1
XO.LT14..HH.2018.06.27.16.32.06,201806,45.0,,0,1,1
XO.LA39..HH.2018.06.27.21.35.03,201806,45.0,65.36,1,1,1
XO.LD40..HH.2018.06.27.21.35.07,201806,44.99,68.36,0,1,1
XO.LD41..HH.2018.06.27.21.35.14,201806,45.0,72.64,0,1,1
XO.LA39..HH.2018.06.27.01.14.12,201806,45.0,59.58,0,1,1
XO.LT17..HH.2018.06.27.14.35.14,201806,44.99,60.6,0,1,1
XO.LT12..HH.2018.06.27.14.35.49,201806,,45.0,0,1,1
XO.LA39..HH.2018.06.27.15.03.47,201806,45.0,59.74,0,1,1
XO.LA39..HH.2018.06.27.18.15.52,201806,44.99,62.13,0,1,1
XO.LT01..HH.2018.06.27.18.42.22,201806,,44.99,0,1,1
XO.LD40..HH.2018.06.27.19.46.48,201806,,44.99,0,0,1
XO.LT01..HH.2018.06.27.19.46.50,201806,,45.0,0,1,1
XO.LT10..HH.2018.06.27.21.27.30,201806,44.99,56.07,0,1,1
XO.LT16..HH.2018.06.27.21.27.36,201806,45.0,,0,1,1
XO.LT04..HH.2018.06.29.01.00.03,201806,44.99,,0,1,1
XO.LD40..HH.2018.06.29.00.59.59,201806,44.99,72.17,1,1,1
XO.LT01..HH.2018.06.29.02.22.56,201806,45.0,66.36,0,1,1
XO.LT16..HH.2018.06.29.05.18.13,201806,45.0,,0,1,1
XO.LA39..HH.2018.06.29.13.41.44,201806,44.99,59.58,0,1,1
XO.LT17..HH.2018.06.29.18.55.25,201806,44.99,51.22,0,1,1
XO.LT12..HH.2018.06.29.18.55.46,201806,45.0,,0,1,1
XO.LD41..HH.2018.06.29.21.37.47,201806,45.0,,0,1,1
XO.LT01..HH.2018.06.30.03.05.03,201806,45.0,70.13,0,1,1
XO.LT04..HH.2018.06.30.22.09.27,201806,,44.99,0,0,1
XO.LT12..HH.2018.06.30.03.41.12,201806,44.99,52.46,0,1,1
XO.LD36..HH.2018.06.30.03.41.20,201806,44.99,57.82,0,1,1
XO.LT06..HH.2018.06.30.03.41.20,201806,45.0,,0,1,1
XO.LT20..HH.2018.06.30.11.21.06,201806,44.99,51.07,0,1,1
XO.LD38..HH.2018.06.15.22.30.17,201806,,45.0,0,1,1
XO.LT04..HH.2018.06.19.13.54.29,201806,44.99,75.56,0,1,1
XO.LD41..HH.2018.06.23.15.10.44,201806,45.0,,0,1,1
XO.LT17..HH.2018.06.24.21.03.43,201806,,44.99,0,0,1
XO.LD40..HH.2018.06.26.19.40.45,201806,44.99,68.58,0,1,1
XO.LT09..HH.2018.06.27.22.25.46,201806,45.0,79.27,0,1,1
XO.LT01..HH.2018.06.27.22.26.10,201806,,45.0,0,1,1
XO.LD38..HH.2018.06.28.19.05.54,201806,45.0,61.7,1,1,1
XO.LA39..HH.2018.06.01.05.03.57,201806,45.0,59.19,0,0,1
XO.LA39..HH.2018.06.01.17.07.48,201806,,45.0,0,1,1
XO.LD40..HH.2018.06.02.04.57.00,201806,,45.0,0,1,1
XO.LD40..HH.2018.06.02.15.42.51,201806,,45.0,0,1,1
