sample_id,p_onset_s,s_onset_s,p_peak_ratio,s_peak_ratio
XO.LA29..HH.2018.06.03.08.02.25,45.14,76.03,7.25832243164946,7.2229899355826435
XO.LA29..HH.2018.06.07.18.32.42,10.43,45.73,7.740042607264653,6.815604034245142
XO.LA29..HH.2018.06.16.02.51.48,44.23,68.73,9.709311266656051,7.464970605627001
XO.LA29..HH.2018.06.16.10.24.41,45.2,,8.511764196563716,
XO.LA29..HH.2018.06.21.02.36.18,,,,
XO.LA29..HH.2018.07.05.19.54.01,,,,
XO.LA29..HH.2018.07.15.00.14.14,47.29,61.81,5.744299398673973,8.478486422658051
XO.LA29..HH.2018.07.18.01.55.31,47.16,,5.071599914037624,
XO.LA29..HH.2018.07.20.16.23.42,45.05,75.96,9.036687778185208,8.052580271501158
XO.LA29..HH.2018.07.26.08.11.03,46.96,57.9,5.806845109170126,7.117728723320434
XO.LA29..HH.2018.07.26.11.38.26,46.22,,6.174078338467914,
XO.LA29..HH.2018.07.29.08.45.00,,,,
XO.LA30..HH.2018.05.21.04.42.52,46.0,,7.571263221296656,
XO.LA30..HH.2018.07.19.14.33.30,47.81,,5.293672604785596,
XO.LA30..HH.2018.07.22.17.13.08,47.99,,5.950118888396643,
XO.LA30..HH.2018.07.24.15.50.43,44.95,,7.712372094297844,
XO.LA30..HH.2018.07.30.11.33.47,29.67,45.03,6.173349123390932,9.157373681380493
XO.LA32..HH.2018.05.28.07.33.19,45.84,,5.072132805463771,
XO.LA32..HH.2018.05.28.09.24.25,47.45,149.19,5.147548634882584,9.940350350453226
XO.LA32..HH.2018.05.29.23.28.31,45.39,149.18,5.933256290903628,9.93568556652292
XO.LA32..HH.2018.06.11.16.27.47,29.25,44.9,8.49336173087493,9.88757166763846
XO.LA32..HH.2018.06.18.22.15.30,,,,
XO.LA32..HH.2018.07.03.19.18.46,45.0,,9.516963931642957,
XO.LA32..HH.2018.07.08.15.13.51,44.58,,9.992530700444693,
XO.LA32..HH.2018.07.11.07.07.52,,,,
XO.LA32..HH.2018.07.19.14.33.03,44.99,149.69,9.922762459969288,9.843916809509077
XO.LA32..HH.2018.07.21.08.15.01,,,,
XO.LA32..HH.2018.07.29.08.44.57,44.98,48.04,7.348493458052257,8.809682676004186
XO.LA32..HH.2018.07.30.11.33.50,44.97,,9.701006272358343,
XO.LA33..HH.2018.05.21.19.58.59,45.21,71.35,8.336003044858124,8.942866771088433
XO.LA33..HH.2018.05.26.11.59.11,45.05,70.05,6.899646892459632,5.134759214586449
XO.LA33..HH.2018.06.07.09.25.10,45.35,,5.058159187483039,
XO.LA33..HH.2018.06.11.01.19.13,,,,
XO.LA33..HH.2018.06.16.02.51.50,44.83,,9.991285536010661,
XO.LA33..HH.2018.06.19.12.25.09,32.66,,5.290800596217725,
XO.LA33..HH.2018.06.20.04.54.02,,,,
XO.LA33..HH.2018.07.05.18.27.50,,,,
XO.LA33..HH.2018.07.07.12.17.55,44.96,71.91,9.943398352553737,7.750679747453626
XO.LA33..HH.2018.07.10.18.48.03,45.71,,7.740351192402877,
XO.LA33..HH.2018.07.13.07.11.32,44.99,64.73,8.500501993817304,5.855496084978225
XO.LA33..HH.2018.07.15.00.14.08,44.83,51.06,9.990754672991413,6.911284692449719
XO.LA33..HH.2018.07.24.04.18.32,45.32,,5.948504825203792,
XO.LA33..HH.2018.07.24.15.50.41,44.86,,9.676429761115127,
XO.LA33..HH.2018.07.25.22.04.29,,,,
XO.LA33..HH.2018.07.26.07.31.37,,,,
XO.LA33..HH.2018.07.26.19.18.07,31.1,,5.405086097104564,
XO.LA33..HH.2018.07.28.12.21.59,44.99,,9.899752830507897,
XO.LA33..HH.2018.07.31.14.34.33,45.0,,9.114552152193017,
XO.LA34..HH.2018.05.25.06.30.56,45.85,,5.655389258439133,
XO.LA34..HH.2018.06.07.18.32.01,44.98,79.32,9.37312464328862,7.301433950172508
XO.LA34..HH.2018.06.16.10.24.21,45.34,52.7,9.516064861233897,7.994514980258771
XO.LA34..HH.2018.06.19.20.20.37,,,,
XO.LA34..HH.2018.06.22.16.31.13,45.52,68.8,6.51396165950603,6.001179814276817
XO.LA34..HH.2018.07.05.17.41.48,45.25,69.8,6.1158441367825445,5.374923533063717
XO.LA34..HH.2018.07.07.12.17.52,44.91,69.6,9.74990865799491,8.579516368947127
XO.LA34..HH.2018.07.12.02.57.39,44.95,73.79,9.215829997776407,8.458974655010634
XO.LA34..HH.2018.07.15.01.52.47,45.68,54.38,6.879994476833337,5.451318369304628
XO.LA34..HH.2018.07.17.03.31.05,,,,
XO.LA34..HH.2018.07.18.11.56.27,45.02,74.02,9.795832236214766,5.620442615915961
XO.LA34..HH.2018.07.18.19.05.40,44.28,,9.895578681994923,
XO.LA34..HH.2018.07.19.14.32.56,44.44,62.5,9.96319671747787,6.049591109004016
XO.LA34..HH.2018.07.21.09.52.42,,,,
XO.LA39..HH.2018.05.28.12.49.32,,,,
XO.LA39..HH.2018.05.29.06.56.15,45.07,61.41,8.372581062162427,5.627118375963454
XO.LA39..HH.2018.05.29.10.05.54,45.13,61.41,9.222398471098586,6.669180614441641
XO.LA39..HH.2018.05.30.05.12.11,46.1,,6.169271465947427,
XO.LA39..HH.2018.05.30.08.25.25,,,,
XO.LA39..HH.2018.05.30.08.39.12,,,,
XO.LA39..HH.2018.05.30.10.57.15,45.07,64.62,9.078976460637028,6.67724286988135
XO.LA39..HH.2018.05.30.19.04.27,60.33,,7.7109369346683,
XO.LA39..HH.2018.05.30.21.27.46,46.02,,6.351576759863333,
XO.LA39..HH.2018.06.01.05.03.57,59.9,,6.476344511660932,
XO.LA39..HH.2018.06.01.17.07.48,31.55,45.84,7.234832607217761,7.977067869870285
XO.LA39..HH.2018.06.01.17.32.37,46.27,,5.992475040052752,
XO.LA39..HH.2018.06.01.18.41.15,44.88,,9.997132163686285,
XO.LA39..HH.2018.06.01.21.46.51,,,,
XO.LA39..HH.2018.06.01.22.02.14,45.1,64.85,9.66116947580905,5.73347286462412
XO.LA39..HH.2018.06.02.13.10.54,45.98,,5.030683770106662,
XO.LA39..HH.2018.06.02.20.17.45,,,,
XO.LA39..HH.2018.06.03.07.11.07,45.22,65.89,9.365188470960552,7.753317189892365
XO.LA39..HH.2018.06.04.08.53.49,39.31,44.88,7.082884229024031,9.822229293438028
XO.LA39..HH.2018.06.04.09.04.57,45.05,114.91,9.15370984435093,5.1217414898536875
XO.LA39..HH.2018.06.04.09.06.39,12.67,47.15,5.1217414898536955,5.7765639093423395
XO.LA39..HH.2018.06.05.14.06.23,45.07,60.89,8.430414561080433,6.101493270438983
XO.LA39..HH.2018.06.06.09.29.04,,,,
XO.LA39..HH.2018.06.06.10.41.24,45.35,,8.068777443342931,
XO.LA39..HH.2018.06.07.09.02.11,45.11,64.63,8.883163820417847,5.371422808091165
XO.LA39..HH.2018.06.08.06.22.04,45.29,65.48,7.032421801064923,5.291582012496736
XO.LA39..HH.2018.06.09.08.03.20,20.19,,6.511774826450749,
XO.LA39..HH.2018.06.09.08.43.43,134.34,,6.3235867449132215,
XO.LA39..HH.2018.06.09.09.39.43,45.53,,7.544451120979966,
XO.LA39..HH.2018.06.09.16.14.01,,,,
XO.LA39..HH.2018.06.10.18.56.24,,,,
XO.LA39..HH.2018.06.11.04.58.13,,,,
XO.LA39..HH.2018.06.12.02.22.21,45.01,60.88,9.85116138167663,8.553651220414041
XO.LA39..HH.2018.06.13.05.20.42,45.08,65.05,9.584988053053788,6.817224415788537
XO.LA39..HH.2018.06.15.00.14.28,45.15,,9.5485885355399,
XO.LA39..HH.2018.06.15.00.21.01,44.94,61.43,9.28613484162562,5.2558303019056405
XO.LA39..HH.2018.06.15.09.47.18,45.01,,9.886385398856605,
XO.LA39..HH.2018.06.19.19.12.37,45.7,60.9,5.102359200955228,8.99208150965918
XO.LA39..HH.2018.06.20.10.34.37,,,,
XO.LA39..HH.2018.06.20.11.36.52,45.3,64.02,7.3031298978150305,6.431279024948118
XO.LA39..HH.2018.06.20.21.38.44,45.5,75.98,9.58579425044261,7.595318796562741
XO.LA39..HH.2018.06.21.03.49.21,45.18,61.23,8.618114290327181,5.307078269616368
XO.LA39..HH.2018.06.21.11.26.32,44.99,60.77,9.849824787525185,6.860139604237903
XO.LA39..HH.2018.06.23.02.56.00,44.89,61.88,9.563046819043562,5.507454188180473
XO.LA39..HH.2018.06.23.08.23.45,45.27,60.54,9.236188654813729,6.741381616942563
XO.LA39..HH.2018.06.23.09.28.49,9.15,22.77,5.292894996259275,8.012907206820744
XO.LA39..HH.2018.06.23.10.49.45,25.87,32.78,6.270774551950333,8.75211675508341
XO.LA39..HH.2018.06.23.22.50.05,45.19,59.72,6.856786385025409,8.16132164257655
XO.LA39..HH.2018.06.24.13.18.58,46.22,61.55,9.706716823831634,6.75607571345676
XO.LA39..HH.2018.06.25.06.46.14,47.55,,5.795211928335127,
XO.LA39..HH.2018.06.25.13.30.18,45.1,54.37,9.357746328051855,5.170754969253886
XO.LA39..HH.2018.06.27.01.14.12,15.85,45.05,6.568597869222259,9.571266068886162
XO.LA39..HH.2018.06.27.15.03.47,45.08,60.6,7.011842139644291,7.10752154528262
XO.LA39..HH.2018.06.27.18.15.52,47.08,62.84,6.009132194371355,6.922769429709245
XO.LA39..HH.2018.06.27.21.35.03,45.13,66.89,9.898020640229987,7.419078913717875
XO.LA39..HH.2018.06.29.13.41.44,45.02,60.45,9.079686769382423,7.663990514010305
XO.LA39..HH.2018.07.01.01.03.07,45.01,59.1,9.922840332135108,8.095022487678568
XO.LA39..HH.2018.07.01.04.04.30,44.84,60.76,9.954020456715902,6.986016555621678
XO.LA39..HH.2018.07.01.06.47.58,44.98,60.86,9.679785127258747,9.316112234250083
XO.LA39..HH.2018.07.01.15.44.48,46.22,,5.357509632840833,
XO.LA39..HH.2018.07.02.10.27.32,44.39,61.81,6.319494374441753,5.20381720329173
XO.LA39..HH.2018.07.03.01.45.18,45.03,,9.121051152346054,
XO.LA39..HH.2018.07.04.19.05.46,45.11,,8.218001974373992,
XO.LA39..HH.2018.07.04.21.57.02,,,,
XO.LA39..HH.2018.07.05.00.42.49,,,,
XO.LA39..HH.2018.07.05.22.25.01,15.51,96.19,6.005055549475325,5.547028798417213
XO.LA39..HH.2018.07.07.11.31.21,45.06,68.94,9.913503282107788,6.641318815637795
XO.LA39..HH.2018.07.08.18.24.27,45.67,,6.437975063988008,
XO.LA39..HH.2018.07.09.17.48.29,15.31,45.0,7.984937967172917,9.91330991399023
XO.LA39..HH.2018.07.10.21.15.46,,,,
XO.LA39..HH.2018.07.12.00.47.36,,,,
XO.LA39..HH.2018.07.12.06.51.24,5.61,46.47,7.349976131775713,5.287416405577884
XO.LA39..HH.2018.07.12.08.20.45,11.33,,9.67573007563889,
XO.LA39..HH.2018.07.12.14.39.37,46.06,,5.50399839273702,
XO.LA39..HH.2018.07.13.11.44.00,23.26,68.28,6.579054321687271,5.50577004730327
XO.LA39..HH.2018.07.13.21.32.30,44.72,58.45,9.97956001447002,5.1869166078043945
XO.LA39..HH.2018.07.14.19.00.28,45.19,,6.589231192334498,
XO.LA39..HH.2018.07.16.22.51.24,44.87,64.95,9.701826641521366,5.008085573597576
XO.LA39..HH.2018.07.18.02.49.23,45.75,,5.785589057830231,
XO.LA39..HH.2018.07.19.12.43.50,45.39,61.45,8.450783369899215,7.6129225288248135
XO.LA39..HH.2018.07.20.10.42.20,45.06,63.13,8.832596860213089,8.603632162219434
XO.LA39..HH.2018.07.20.16.07.41,60.35,,5.198028789272065,
XO.LA39..HH.2018.07.20.18.44.31,45.26,64.97,9.846986802053001,5.899607609727647
XO.LA39..HH.2018.07.21.22.22.28,8.52,46.35,5.143898544063869,6.2160661072295555
XO.LA39..HH.2018.07.22.22.51.22,44.99,59.22,9.018735550558958,8.098135776922117
XO.LA39..HH.2018.07.26.17.39.25,45.05,61.92,7.980608431635365,5.453254226061888
XO.LA39..HH.2018.07.27.22.32.01,45.13,68.94,9.462481746309468,7.240808989780064
XO.LA39..HH.2018.07.28.06.14.22,44.99,60.25,9.968067803041185,7.035043084312118
XO.LA39..HH.2018.07.31.05.39.22,30.32,45.32,9.934837774139753,7.640495879501255
XO.LA39..HH.2018.07.31.06.49.44,44.88,61.3,9.805498046514208,6.742055595541486
XO.LA39..HH.2018.07.31.07.01.07,,,,
XO.LA39..HH.2018.07.31.11.43.28,10.17,,5.195353947622442,
XO.LA39..HH.2018.07.31.13.47.46,45.17,53.31,9.297984010390124,6.524337367627331
XO.LA39..HH.2018.07.31.13.47.53,37.34,45.48,9.297984010390142,6.52433736762732
XO.LA39..HH.2018.07.31.14.32.05,28.07,,5.4973050966952135,
XO.LD36..HH.2018.05.15.12.37.51,,,,
XO.LD36..HH.2018.05.15.13.54.09,45.18,,7.904307220911584,
XO.LD36..HH.2018.05.22.02.27.39,45.76,81.19,6.924152894831701,5.223885885370015
XO.LD36..HH.2018.05.23.00.51.50,45.16,,9.613279662409685,
XO.LD36..HH.2018.05.29.00.36.40,52.88,,5.542770354901531,
XO.LD36..HH.2018.06.05.15.48.02,45.64,,5.369882973280538,
XO.LD36..HH.2018.06.10.09.41.22,,,,
XO.LD36..HH.2018.06.11.16.27.43,44.68,,9.840742438537761,
XO.LD36..HH.2018.06.20.21.38.27,45.04,53.92,9.323287843217294,8.490776991795734
XO.LD36..HH.2018.06.30.03.41.20,45.91,61.88,7.518015657700155,5.193702758623786
XO.LD36..HH.2018.07.03.07.07.02,44.62,51.65,9.231171851570501,5.358565323711305
XO.LD36..HH.2018.07.03.08.46.32,,,,
XO.LD36..HH.2018.07.03.13.11.07,45.0,77.57,9.866562991256586,5.521196948801585
XO.LD36..HH.2018.07.03.19.18.32,44.94,,9.949992515840938,
XO.LD36..HH.2018.07.15.01.53.00,45.29,,7.001343733248085,
XO.LD36..HH.2018.07.17.03.31.15,45.0,,8.313222048595412,
XO.LD36..HH.2018.07.19.10.36.09,45.39,68.11,6.574996343751131,5.250941651452144
XO.LD36..HH.2018.07.19.14.45.43,,,,
XO.LD36..HH.2018.07.22.17.13.23,45.08,,9.179199592775994,
XO.LD36..HH.2018.07.25.06.12.34,45.68,,6.11051865205753,
XO.LD36..HH.2018.07.27.17.28.15,,,,
XO.LD38..HH.2018.05.26.19.37.24,45.03,59.34,9.406335901634804,8.219690784996372
XO.LD38..HH.2018.05.27.04.41.02,18.04,45.0,5.0850278692077255,7.127293176314546
XO.LD38..HH.2018.05.27.10.36.29,45.05,69.3,9.912613575615335,5.453143568235565
XO.LD38..HH.2018.05.29.03.57.24,25.92,45.13,8.105334170817896,9.874898186431793
XO.LD38..HH.2018.05.29.16.20.11,45.09,50.69,9.898555106175877,8.380441108230846
XO.LD38..HH.2018.06.03.06.45.02,27.85,42.74,5.649560111061387,9.206421665393886
XO.LD38..HH.2018.06.03.21.07.13,45.08,,9.486841485364492,
XO.LD38..HH.2018.06.06.02.46.26,32.02,47.99,5.823565256637942,5.639732017936283
XO.LD38..HH.2018.06.07.16.10.19,26.0,45.27,7.414974748695811,7.220042827387218
XO.LD38..HH.2018.06.13.16.20.04,29.2,45.36,9.0396366874808,8.721255834570657
XO.LD38..HH.2018.06.13.18.40.04,19.46,45.17,5.447596329686005,9.573511947367809
XO.LD38..HH.2018.06.15.22.30.17,28.53,45.38,8.294027731444002,6.733673678447614
XO.LD38..HH.2018.06.17.04.31.57,15.63,44.21,6.664910069416116,9.879931317052788
XO.LD38..HH.2018.06.22.14.46.31,,,,
XO.LD38..HH.2018.06.23.03.56.47,119.26,,5.678913853224678,
XO.LD38..HH.2018.06.27.15.38.33,20.0,44.98,7.684940208971125,8.458771027673295
XO.LD38..HH.2018.06.28.02.12.16,29.04,46.17,6.283437173449471,6.050244083416169
XO.LD38..HH.2018.06.28.19.05.54,44.99,61.75,9.806926278512822,8.351197263582058
XO.LD38..HH.2018.07.03.19.18.32,45.05,,9.683528492077897,
XO.LD38..HH.2018.07.12.02.05.23,30.01,46.27,7.355332121969244,6.432006669223698
XO.LD38..HH.2018.07.25.11.33.48,25.77,45.18,5.146640486728829,6.790527715593641
XO.LD38..HH.2018.07.26.15.26.05,11.19,45.18,5.147965601830432,7.838850146691768
XO.LD38..HH.2018.07.27.21.41.18,45.02,60.18,8.740963600451888,7.775264867576163
XO.LD38..HH.2018.07.29.06.15.18,44.98,,9.705429937650258,
XO.LD38..HH.2018.07.31.12.25.39,28.44,,8.95372240620993,
XO.LD40..HH.2018.05.26.14.57.05,47.62,,6.086160628396349,
XO.LD40..HH.2018.05.27.15.40.08,,,,
XO.LD40..HH.2018.05.27.17.21.08,45.68,,6.314020269334725,
XO.LD40..HH.2018.05.28.04.25.32,45.34,,7.237718257346344,
XO.LD40..HH.2018.05.31.08.14.27,45.15,69.91,7.418233649389541,7.324776950877974
XO.LD40..HH.2018.05.31.19.02.50,47.64,72.26,5.337387228509338,5.564280557332603
XO.LD40..HH.2018.06.01.18.36.01,48.81,,5.24270196527816,
XO.LD40..HH.2018.06.01.18.41.12,48.07,,8.471205431761495,
XO.LD40..HH.2018.06.02.04.57.00,107.72,,7.618927335525795,
XO.LD40..HH.2018.06.02.15.35.07,68.91,,6.724923306997671,
XO.LD40..HH.2018.06.02.15.42.51,94.85,119.8,8.044092559118575,6.9930329286097015
XO.LD40..HH.2018.06.03.16.09.02,49.12,,6.838635464346848,
XO.LD40..HH.2018.06.04.08.53.55,43.92,,5.29161348330968,
XO.LD40..HH.2018.06.04.14.18.52,26.51,,6.378308975843002,
XO.LD40..HH.2018.06.05.03.55.20,46.17,,7.409016020675575,
XO.LD40..HH.2018.06.05.13.17.40,,,,
XO.LD40..HH.2018.06.06.13.51.38,46.23,,5.504434385928451,
XO.LD40..HH.2018.06.06.13.54.37,46.36,,5.13888300509656,
XO.LD40..HH.2018.06.07.01.10.09,,,,
XO.LD40..HH.2018.06.07.08.49.44,74.36,,5.482415989683101,
XO.LD40..HH.2018.06.07.20.53.26,139.16,,9.389334494010432,
XO.LD40..HH.2018.06.09.09.54.02,46.68,72.36,5.5038436344467,6.113699356703571
XO.LD40..HH.2018.06.09.12.03.23,,,,
XO.LD40..HH.2018.06.09.14.56.05,62.48,,6.7965940785839,
XO.LD40..HH.2018.06.10.05.24.39,46.95,,5.7271838194901825,
XO.LD40..HH.2018.06.12.11.07.57,45.56,,6.171109509229649,
XO.LD40..HH.2018.06.13.23.44.16,45.2,,7.686715899578977,
XO.LD40..HH.2018.06.14.16.47.48,45.16,64.48,9.2838561038922,5.5453205136509665
XO.LD40..HH.2018.06.16.18.21.43,65.61,,5.700520774756579,
XO.LD40..HH.2018.06.17.05.47.57,47.63,,7.045701952050273,
XO.LD40..HH.2018.06.18.21.44.45,44.98,,9.112105301915141,
XO.LD40..HH.2018.06.19.16.54.03,46.09,,5.6373474219333,
XO.LD40..HH.2018.06.19.19.45.46,,,,
XO.LD40..HH.2018.06.20.10.19.47,,,,
XO.LD40..HH.2018.06.20.10.34.49,47.5,,5.7328532278849,
XO.LD40..HH.2018.06.20.11.13.16,45.08,,7.9749220612513545,
XO.LD40..HH.2018.06.20.12.34.19,45.94,,6.594917565320068,
XO.LD40..HH.2018.06.20.21.38.34,45.53,69.6,8.97107199624944,6.046636412071953
XO.LD40..HH.2018.06.21.09.58.37,,,,
XO.LD40..HH.2018.06.23.03.58.02,47.57,,6.3490978997572745,
XO.LD40..HH.2018.06.23.09.03.32,,,,
XO.LD40..HH.2018.06.23.09.28.37,45.16,,7.52368899235855,
XO.LD40..HH.2018.06.24.03.05.14,,,,
XO.LD40..HH.2018.06.24.06.41.24,46.4,,5.340918132979125,
XO.LD40..HH.2018.06.24.11.28.11,,,,
XO.LD40..HH.2018.06.24.21.53.31,47.28,,5.456962788544814,
XO.LD40..HH.2018.06.25.11.14.59,,,,
XO.LD40..HH.2018.06.26.19.40.45,,,,
XO.LD40..HH.2018.06.27.13.14.18,45.13,118.98,6.359811228989337,5.929865706665565
XO.LD40..HH.2018.06.27.15.38.37,27.51,44.93,5.2933045973257675,9.836422555327688
XO.LD40..HH.2018.06.27.19.46.48,48.23,,5.208588148367518,
XO.LD40..HH.2018.06.27.21.35.07,46.15,,5.597371858771552,
XO.LD40..HH.2018.06.29.00.59.59,44.68,,9.92573723927188,
XO.LD40..HH.2018.06.29.02.18.17,68.13,,5.4492601133455425,
XO.LD40..HH.2018.06.30.20.21.29,46.08,,7.001511691690546,
XO.LD40..HH.2018.07.01.15.44.41,45.14,72.15,6.660522169549208,5.075174241751771
XO.LD40..HH.2018.07.01.21.11.45,,,,
XO.LD40..HH.2018.07.02.14.22.26,45.05,61.77,9.912973240463891,7.419559733371227
XO.LD40..HH.2018.07.03.07.23.47,44.93,46.45,9.240454859381117,5.423618627779899
XO.LD40..HH.2018.07.06.21.48.29,,,,
XO.LD40..HH.2018.07.08.11.02.55,45.19,64.5,9.816706985683387,8.47900327707461
XO.LD40..HH.2018.07.10.18.19.05,47.88,52.9,5.603938643421301,5.154087143144484
XO.LD40..HH.2018.07.10.21.16.19,46.89,,5.73778170244585,
XO.LD40..HH.2018.07.12.00.37.42,45.97,,5.722915542743118,
XO.LD40..HH.2018.07.12.07.07.16,46.91,,5.595459019470003,
XO.LD40..HH.2018.07.13.11.58.35,,,,
XO.LD40..HH.2018.07.14.15.38.46,45.05,,7.776119525590415,
XO.LD40..HH.2018.07.14.19.27.17,,,,
XO.LD40..HH.2018.07.15.02.04.38,46.42,48.22,5.363263364917435,5.1641352090476325
XO.LD40..HH.2018.07.16.11.35.05,,,,
XO.LD40..HH.2018.07.18.18.47.37,48.01,,5.851719179157254,
XO.LD40..HH.2018.07.19.17.25.06,,,,
XO.LD40..HH.2018.07.21.07.49.29,,,,
XO.LD40..HH.2018.07.26.10.55.02,45.97,,7.955428905315756,
XO.LD40..HH.2018.07.26.17.39.51,47.21,,5.038075982914386,
XO.LD40..HH.2018.07.28.07.51.26,47.63,,5.425160151925877,
XO.LD40..HH.2018.07.31.16.56.54,46.22,,6.693151051812822,
XO.LD41..HH.2018.05.24.03.19.38,44.01,46.37,6.0962408688851095,5.749087198168471
XO.LD41..HH.2018.05.24.12.30.13,46.98,75.61,7.0597107626166755,5.202814635695153
XO.LD41..HH.2018.05.25.04.54.19,47.13,77.83,6.428044638671196,5.475784445592521
XO.LD41..HH.2018.05.25.05.36.36,46.79,,5.031162707334769,
XO.LD41..HH.2018.05.25.12.35.29,45.83,,7.9465951882748165,
XO.LD41..HH.2018.05.26.10.39.55,45.23,,7.168117040806257,
XO.LD41..HH.2018.05.27.16.25.34,44.93,,9.177791659579235,
XO.LD41..HH.2018.05.28.12.50.00,45.38,,9.996193514782641,
XO.LD41..HH.2018.05.29.07.10.38,45.25,,6.9169949404174105,
XO.LD41..HH.2018.05.30.15.34.41,75.11,,6.286549631735924,
XO.LD41..HH.2018.05.30.20.36.25,43.87,78.32,9.935177546346434,6.134792503803135
XO.LD41..HH.2018.06.03.05.04.35,43.8,71.37,9.573198163268062,5.605353114287197
XO.LD41..HH.2018.06.03.21.56.35,,,,
XO.LD41..HH.2018.06.04.23.19.16,46.24,,9.38397086468848,
XO.LD41..HH.2018.06.05.15.48.13,,,,
XO.LD41..HH.2018.06.07.10.22.20,44.99,,9.494510787580655,
XO.LD41..HH.2018.06.11.10.42.15,,,,
XO.LD41..HH.2018.06.11.11.37.35,77.14,,5.940411176868494,
XO.LD41..HH.2018.06.15.09.47.29,45.2,67.23,6.894511614182635,5.4798337740720955
XO.LD41..HH.2018.06.20.21.38.40,45.06,70.63,9.677114101184054,5.09856219096638
XO.LD41..HH.2018.06.22.03.32.52,,,,
XO.LD41..HH.2018.06.23.09.03.50,,,,
XO.LD41..HH.2018.06.23.10.49.49,47.11,,6.935831107664963,
XO.LD41..HH.2018.06.23.11.26.22,46.05,,7.01452738481322,
