sample_id,phase,station,split,reference_time_s,action,risk,selected_time_s,auto_capable,verdict
XO.LT20..HH.2018.05.25.06.03.39,P,LT20,main,44.99,ROUTE,31.3,46.41,True,wrong
XO.LT20..HH.2018.05.25.06.03.39,S,LT20,main,62.83,ABSTAIN,31.3,,False,no_pick
XO.LD45..HH.2018.05.25.06.30.42,P,LD45,main,44.99,ROUTE,21.3,45.05,True,correct
XO.LA26..HH.2018.05.25.06.30.46,P,LA26,main,44.99,ABSTAIN,37.0,,False,no_pick
XO.LA34..HH.2018.05.25.06.30.56,S,LA34,main,45.0,FUSE,1.0,45.18,True,correct
XO.LA29..HH.2018.05.25.06.30.57,S,LA29,main,45.0,FUSE,1.0,45.27,True,correct
XO.LD41..HH.2018.05.25.04.54.19,P,LD41,holdout,45.0,ROUTE,26.3,45.7,True,wrong
XO.LD41..HH.2018.05.25.05.36.36,P,LD41,main,45.0,ROUTE,21.3,44.9,True,correct
XO.LT04..HH.2018.05.25.08.10.32,P,LT04,main,44.99,FUSE,1.3,44.735,True,correct
XO.LT04..HH.2018.05.25.08.10.32,S,LT04,main,58.21,ABSTAIN,6.3,,False,no_pick
XO.LT04..HH.2018.05.25.08.40.15,P,LT04,main,44.99,FUSE,1.0,44.96,True,correct
XO.LT04..HH.2018.05.25.08.40.15,S,LT04,main,52.26,FUSE,1.0,52.11,True,correct
XO.LT18..HH.2018.05.26.11.55.24,P,LT18,main,44.99,FUSE,4.3,44.985,True,correct
XO.LT18..HH.2018.05.26.11.55.24,S,LT18,main,54.87,FUSE,4.3,54.935,True,correct
XO.LD44..HH.2018.05.26.11.58.59,P,LD44,main,44.99,ROUTE,26.3,45.18,True,correct
XO.LA33..HH.2018.05.26.11.59.11,P,LA33,main,44.99,FUSE,6.3,44.92,True,correct
XO.LD38..HH.2018.05.26.19.37.24,P,LD38,main,45.0,ROUTE,21.3,44.91,True,correct
XO.LD38..HH.2018.05.26.19.37.24,S,LD38,main,58.54,ROUTE,21.3,58.8,True,correct
XO.LD41..HH.2018.05.26.10.39.55,P,LD41,holdout,44.99,ROUTE,26.3,45.01,True,correct
XO.LD40..HH.2018.05.26.14.57.05,S,LD40,main,44.99,ROUTE,31.3,45.7,True,correct
XO.LD41..HH.2018.05.27.16.25.34,P,LD41,main,44.99,ROUTE,21.3,45.17,True,correct
XO.LA23..HH.2018.05.27.18.30.11,P,LA23,main,44.99,FUSE,0.0,44.46,True,wrong
XO.LA23..HH.2018.05.27.18.30.11,S,LA23,main,57.08,ROUTE,18.5,57.55,True,correct
XO.LT06..HH.2018.05.27.18.30.20,P,LT06,holdout,44.99,FUSE,4.3,44.975,True,correct
XO.LA29..HH.2018.05.27.18.30.30,P,LA29,main,45.0,FUSE,6.0,44.04,True,wrong
XO.LT20..HH.2018.05.27.14.38.01,S,LT20,holdout,44.99,ROUTE,21.3,45.06,True,correct
XO.LA32..HH.2018.05.28.07.33.19,P,LA32,holdout,45.0,ABSTAIN,22.3,,False,no_pick
XO.LT20..HH.2018.05.28.07.32.51,P,LT20,main,44.99,ROUTE,26.3,44.73,True,correct
XO.LT20..HH.2018.05.28.07.32.51,S,LT20,main,56.79,ROUTE,26.3,56.74,True,correct
XO.LD40..HH.2018.05.28.04.25.32,S,LD40,main,45.0,ROUTE,26.3,44.42,True,correct
XO.LT01..HH.2018.05.28.08.07.29,S,LT01,main,44.99,ROUTE,43.5,98.68,True,wrong
XO.LD41..HH.2018.05.28.12.50.00,S,LD41,main,45.0,ROUTE,26.3,44.72,True,correct
XO.LA39..HH.2018.05.28.12.49.32,S,LA39,holdout,44.99,FUSE,23.3,45.255,True,correct
XO.LD38..HH.2018.05.29.03.57.24,P,LD38,main,45.0,ABSTAIN,7.8,,False,no_pick
XO.LD38..HH.2018.05.29.03.57.24,S,LD38,main,65.39,ROUTE,21.3,65.52,True,correct
XO.LT20..HH.2018.05.29.21.25.20,P,LT20,main,44.99,ROUTE,21.3,44.96,True,correct
XO.LT20..HH.2018.05.29.21.25.20,S,LT20,main,52.84,ROUTE,21.3,53.05,True,correct
XO.LT06..HH.2018.05.29.04.40.08,P,LT06,main,44.99,FUSE,4.3,44.965,True,correct
XO.LT06..HH.2018.05.29.04.40.08,S,LT06,main,58.58,FUSE,4.3,58.72,True,correct
XO.LT04..HH.2018.05.29.04.40.11,P,LT04,main,44.99,FUSE,1.0,44.98,True,correct
XO.LT04..HH.2018.05.29.04.40.11,S,LT04,main,61.71,FUSE,1.0,61.67,True,correct
XO.LT07..HH.2018.05.29.04.40.03,P,LT07,main,44.99,FUSE,0.0,44.84,True,correct
XO.LT07..HH.2018.05.29.04.40.03,S,LT07,main,55.34,FUSE,0.0,55.37,True,correct
XO.LA39..HH.2018.05.29.10.05.54,P,LA39,main,45.0,FUSE,0.0,45.08,True,correct
XO.LA39..HH.2018.05.29.10.05.54,S,LA39,main,59.69,FUSE,0.0,60.03,True,correct
XO.LT16..HH.2018.05.30.02.35.18,P,LT16,main,45.0,FUSE,10.8,44.985,True,correct
XO.LA26..HH.2018.05.30.02.35.28,P,LA26,holdout,44.99,FUSE,1.0,45.02,True,correct
XO.LA26..HH.2018.05.30.02.35.28,S,LA26,holdout,62.39,FUSE,1.0,62.43,True,correct
XO.LT20..HH.2018.05.30.02.35.41,P,LT20,main,45.0,ROUTE,31.3,44.95,True,correct
XO.LA39..HH.2018.05.30.05.12.11,S,LA39,main,44.99,FUSE,0.0,45.42,True,correct
XO.LD41..HH.2018.05.30.20.36.25,P,LD41,holdout,45.0,ABSTAIN,22.8,,False,no_pick
XO.LA39..HH.2018.05.30.08.25.25,S,LA39,main,44.99,FUSE,18.3,43.92,True,wrong
XO.LT01..HH.2018.05.30.09.48.51,S,LT01,main,44.99,FUSE,0.0,44.74,True,correct
XO.LA39..HH.2018.05.30.10.57.15,P,LA39,main,45.0,FUSE,1.0,45.02,True,correct
XO.LA39..HH.2018.05.30.10.57.15,S,LA39,main,62.96,FUSE,1.0,63.22,True,correct
XO.LD41..HH.2018.05.30.15.34.41,P,LD41,holdout,44.99,ROUTE,26.3,45.13,True,correct
XO.LA39..HH.2018.05.30.19.04.27,P,LA39,main,44.99,FUSE,0.0,45.02,True,correct
XO.LA39..HH.2018.05.30.19.04.27,S,LA39,main,58.98,FUSE,0.0,59.15,True,correct
XO.LA39..HH.2018.05.30.21.27.46,S,LA39,main,44.99,FUSE,1.0,45.02,True,correct
XO.LT04..HH.2018.05.31.01.58.18,P,LT04,main,45.0,ABSTAIN,39.5,,False,no_pick
XO.LD40..HH.2018.05.31.08.14.27,P,LD40,holdout,45.0,ROUTE,21.3,44.99,True,correct
XO.LT06..HH.2018.05.31.10.11.26,S,LT06,main,44.99,FUSE,4.3,45.26,True,correct
XO.LD40..HH.2018.05.31.19.02.50,P,LD40,main,44.99,ROUTE,31.3,45.26,True,correct
XO.LD40..HH.2018.05.31.19.02.50,S,LD40,main,70.83,ROUTE,31.3,70.79,True,correct
XO.LT18..HH.2018.05.31.17.51.09,P,LT18,main,45.0,FUSE,4.3,45.065,True,correct
XO.LT18..HH.2018.05.31.17.51.09,S,LT18,main,55.45,ABSTAIN,22.8,,False,no_pick
XO.LD41..HH.2018.05.25.12.35.29,P,LD41,holdout,44.99,ROUTE,21.3,43.48,True,wrong
XO.LT04..HH.2018.05.25.12.35.31,P,LT04,main,44.99,ABSTAIN,43.0,,False,no_pick
XO.LT04..HH.2018.05.25.12.35.31,S,LT04,main,75.2,FUSE,18.3,75.33,True,correct
XO.LT01..HH.2018.05.25.23.04.56,S,LT01,main,44.99,FUSE,10.0,44.68,True,correct
XO.LD38..HH.2018.05.27.10.36.29,P,LD38,main,44.99,FUSE,2.8,44.91,True,correct
XO.LD38..HH.2018.05.27.10.36.29,S,LD38,main,68.08,ROUTE,21.3,68.36,True,correct
XO.LA39..HH.2018.05.29.06.56.15,P,LA39,main,45.0,FUSE,0.0,45.02,True,correct
XO.LA39..HH.2018.05.29.06.56.15,S,LA39,main,60.21,FUSE,0.0,60.0,True,correct
XO.LT14..HH.2018.05.30.01.52.09,P,LT14,main,44.99,ABSTAIN,27.8,,False,no_pick
XO.LA28..HH.2018.05.30.01.52.24,S,LA28,main,44.99,ABSTAIN,46.3,,False,no_pick
XO.LA39..HH.2018.05.30.08.39.12,S,LA39,main,45.0,FUSE,1.0,45.02,True,correct
XO.LD36..HH.2018.05.29.00.36.40,P,LD36,main,45.0,ROUTE,26.3,45.82,True,wrong
XO.LD41..HH.2018.05.29.07.10.38,P,LD41,holdout,44.99,ROUTE,26.3,43.64,True,wrong
XO.LT06..HH.2018.05.29.15.14.24,P,LT06,main,45.0,FUSE,4.3,45.08,True,correct
XO.LT06..HH.2018.05.29.15.14.24,S,LT06,main,54.95,FUSE,4.3,54.905,True,correct
XO.LT10..HH.2018.05.29.15.14.28,P,LT10,main,45.0,FUSE,1.3,44.88,True,correct
XO.LT10..HH.2018.05.29.15.14.28,S,LT10,main,58.09,FUSE,1.3,58.24,True,correct
XO.LD38..HH.2018.05.29.16.20.11,P,LD38,holdout,45.0,ROUTE,36.3,45.04,True,correct
XO.LD38..HH.2018.05.29.16.20.11,S,LD38,holdout,50.21,ROUTE,36.3,50.35,True,correct
XO.LA32..HH.2018.05.29.23.28.31,P,LA32,main,45.0,FUSE,1.0,45.01,True,correct
XO.LT09..HH.2018.05.28.09.24.23,P,LT09,holdout,45.0,FUSE,1.0,44.925,True,correct
XO.LT09..HH.2018.05.28.09.24.23,S,LT09,holdout,53.37,FUSE,1.0,53.39,True,correct
XO.LA29..HH.2018.05.28.09.24.23,P,LA29,main,45.0,FUSE,1.0,45.11,True,correct
XO.LA29..HH.2018.05.28.09.24.23,S,LA29,main,53.34,FUSE,1.0,53.39,True,correct
XO.LA32..HH.2018.05.28.09.24.25,P,LA32,main,45.0,FUSE,12.3,44.77,True,correct
XO.LA32..HH.2018.05.28.09.24.25,S,LA32,main,55.11,FUSE,0.0,55.04,True,correct
XO.LT06..HH.2018.05.28.18.47.03,P,LT06,holdout,45.0,FUSE,4.3,45.1,True,correct
XO.LT06..HH.2018.05.28.18.47.03,S,LT06,holdout,53.23,FUSE,4.3,53.225,True,correct
XO.LT04..HH.2018.05.28.22.01.04,P,LT04,main,44.99,FUSE,0.0,44.95,True,correct
XO.LT04..HH.2018.05.28.22.01.04,S,LT04,main,59.39,FUSE,0.0,59.44,True,correct
XO.LD38..HH.2018.05.27.04.41.02,P,LD38,main,45.0,ROUTE,26.3,45.08,True,correct
XO.LA21..HH.2018.05.27.04.41.09,P,LA21,main,44.99,ABSTAIN,9.3,,False,no_pick
XO.LA21..HH.2018.05.27.04.41.09,S,LA21,main,63.48,ROUTE,22.8,63.53,True,correct
XO.LA25..HH.2018.05.27.04.41.28,S,LA25,main,45.0,ABSTAIN,46.3,,False,no_pick
XO.LD40..HH.2018.05.27.15.40.08,S,LD40,holdout,44.99,ROUTE,26.3,46.25,True,wrong
XO.LD40..HH.2018.05.27.17.21.08,S,LD40,holdout,44.99,ROUTE,31.3,,True,no_pick
XO.LT13..HH.2018.05.27.23.08.14,P,LT13,main,44.99,FUSE,13.6,44.9,True,correct
XO.LT13..HH.2018.05.27.23.08.14,S,LT13,main,54.9,FUSE,1.3,54.97,True,correct
XO.LT07..HH.2018.05.24.21.33.57,P,LT07,main,44.99,FUSE,6.0,45.02,True,correct
XO.LD36..HH.2018.05.22.02.27.39,P,LD36,main,45.0,ROUTE,36.3,45.45,True,correct
XO.LD36..HH.2018.05.22.02.27.39,S,LD36,main,78.48,ROUTE,36.3,78.96,True,correct
XO.LT16..HH.2018.05.22.12.36.22,P,LT16,main,45.0,FUSE,0.0,45.01,True,correct
XO.LT10..HH.2018.05.18.16.34.36,P,LT10,main,44.99,FUSE,16.0,44.95,True,correct
XO.LT10..HH.2018.05.18.16.34.36,S,LT10,main,50.1,FUSE,16.0,50.11,True,correct
XO.LT10..HH.2018.05.16.21.10.06,P,LT10,holdout,44.99,ABSTAIN,18.3,,False,no_pick
XO.LT10..HH.2018.05.16.21.10.06,S,LT10,holdout,56.68,ABSTAIN,6.0,,False,no_pick
XO.LD36..HH.2018.05.15.12.37.51,P,LD36,main,45.0,ROUTE,26.3,43.78,True,wrong
XO.LD36..HH.2018.05.15.12.37.51,S,LD36,main,56.36,ABSTAIN,31.3,,False,no_pick
XO.LT17..HH.2018.06.01.15.49.14,P,LT17,main,44.99,FUSE,13.6,45.03,True,correct
XO.LT17..HH.2018.06.01.15.49.14,S,LT17,main,56.72,FUSE,1.3,56.64,True,correct
XO.LA39..HH.2018.06.01.17.32.37,S,LA39,main,44.99,FUSE,0.0,45.02,True,correct
XO.LT04..HH.2018.06.01.18.12.44,P,LT04,main,44.99,FUSE,1.0,45.17,True,correct
XO.LD40..HH.2018.06.01.18.41.12,P,LD40,main,44.99,ROUTE,36.3,44.97,True,correct
XO.LA39..HH.2018.06.01.18.41.15,P,LA39,main,44.99,FUSE,6.0,45.045,True,correct
XO.LA39..HH.2018.06.01.18.41.15,S,LA39,main,57.43,FUSE,15.2,58.42,True,correct
XO.LA23..HH.2018.06.01.18.42.04,S,LA23,main,45.0,FUSE,23.6,44.57,True,correct
XO.LA39..HH.2018.06.01.22.02.14,P,LA39,main,44.99,FUSE,0.0,45.02,True,correct
XO.LA39..HH.2018.06.01.22.02.14,S,LA39,main,63.34,FUSE,0.0,63.44,True,correct
XO.LT04..HH.2018.06.01.22.02.35,P,LT04,main,45.0,FUSE,16.0,45.02,True,correct
XO.LT04..HH.2018.06.01.22.02.35,S,LT04,main,79.49,FUSE,16.0,79.15,True,correct
XO.LD40..HH.2018.06.01.18.36.01,S,LD40,main,44.99,ROUTE,21.3,45.14,True,correct
XO.LA25..HH.2018.06.01.20.34.52,P,LA25,main,44.99,ROUTE,22.8,45.02,True,correct
XO.LA25..HH.2018.06.01.20.34.52,S,LA25,main,66.17,ABSTAIN,46.3,,False,no_pick
XO.LT13..HH.2018.06.01.20.34.56,P,LT13,holdout,44.99,FUSE,1.3,44.99,True,correct
XO.LT13..HH.2018.06.01.20.34.56,S,LT13,holdout,67.28,FUSE,1.3,67.33,True,correct
XO.LT04..HH.2018.06.01.20.35.06,S,LT04,main,45.0,FUSE,1.0,45.36,True,correct
XO.LA28..HH.2018.06.01.20.35.12,S,LA28,main,45.0,ABSTAIN,46.3,,False,no_pick
XO.LT16..HH.2018.06.01.20.34.51,P,LT16,main,44.99,ABSTAIN,52.8,,False,no_pick
XO.LA39..HH.2018.06.01.21.46.51,S,LA39,main,44.99,FUSE,22.3,44.96,True,correct
XO.LT04..HH.2018.06.02.13.39.17,S,LT04,main,44.99,ROUTE,34.5,43.84,True,wrong
XO.LD40..HH.2018.06.02.15.35.07,P,LD40,main,45.0,ROUTE,21.3,45.22,True,correct
XO.LD40..HH.2018.06.02.15.35.07,S,LD40,main,68.54,ROUTE,21.3,68.2,True,correct
XO.LT01..HH.2018.06.02.15.44.09,S,LT01,main,45.0,FUSE,17.3,45.235,True,correct
XO.LA39..HH.2018.06.02.20.17.45,S,LA39,main,45.0,FUSE,13.3,45.055,True,correct
XO.LT01..HH.2018.06.02.21.04.45,S,LT01,holdout,44.99,FUSE,27.3,130.595,True,wrong
XO.LA39..HH.2018.06.02.13.10.54,S,LA39,main,44.99,ABSTAIN,52.0,,False,no_pick
XO.LT04..HH.2018.06.02.19.17.37,S,LT04,main,44.99,FUSE,11.0,44.765,True,correct
XO.LT06..HH.2018.06.03.04.44.01,P,LT06,main,44.99,ABSTAIN,9.3,,False,no_pick
XO.LT06..HH.2018.06.03.04.44.01,S,LT06,main,63.1,ABSTAIN,9.3,,False,no_pick
XO.LA39..HH.2018.06.03.07.11.07,P,LA39,main,44.99,ABSTAIN,6.0,,False,no_pick
XO.LA39..HH.2018.06.03.07.11.07,S,LA39,main,65.4,FUSE,1.0,64.88,True,correct
XO.LD40..HH.2018.06.03.16.09.02,S,LD40,main,45.0,ROUTE,26.3,44.89,True,correct
XO.LT01..HH.2018.06.03.16.08.35,P,LT01,main,44.99,FUSE,0.0,44.735,True,correct
XO.LT01..HH.2018.06.03.16.08.35,S,LT01,main,73.81,FUSE,0.0,73.79,True,correct
XO.LD38..HH.2018.06.03.21.07.13,P,LD38,holdout,44.99,ABSTAIN,7.8,,False,no_pick
XO.LD38..HH.2018.06.03.21.07.13,S,LD38,holdout,63.23,ROUTE,21.3,63.37,True,correct
XO.LD41..HH.2018.06.03.05.04.35,P,LD41,main,45.0,ROUTE,21.3,43.7,True,wrong
XO.LD38..HH.2018.06.03.06.45.02,P,LD38,main,44.99,ROUTE,21.3,42.69,True,wrong
XO.LT18..HH.2018.06.03.08.02.03,P,LT18,main,44.99,ABSTAIN,22.8,,False,no_pick
XO.LA29..HH.2018.06.03.08.02.25,P,LA29,main,45.0,ABSTAIN,19.5,,False,no_pick
XO.LD41..HH.2018.06.03.21.56.35,P,LD41,main,44.99,ROUTE,26.3,42.85,True,wrong
XO.LD41..HH.2018.06.03.21.56.35,S,LD41,main,74.04,ROUTE,26.3,73.85,True,correct
XO.LT14..HH.2018.06.04.05.38.19,P,LT14,main,44.99,FUSE,14.3,45.135,True,correct
XO.LT06..HH.2018.06.04.07.27.46,S,LT06,holdout,45.0,ABSTAIN,27.8,,False,no_pick
XO.LA39..HH.2018.06.04.08.53.49,P,LA39,main,45.0,ABSTAIN,6.0,,False,no_pick
XO.LA39..HH.2018.06.04.08.53.49,S,LA39,main,60.23,FUSE,1.0,60.12,True,correct
XO.LD40..HH.2018.06.04.08.53.55,P,LD40,main,45.0,ROUTE,21.3,43.61,True,wrong
XO.LD40..HH.2018.06.04.08.53.55,S,LD40,main,62.19,ROUTE,21.3,61.87,True,correct
XO.LT01..HH.2018.06.04.08.53.58,P,LT01,main,44.99,FUSE,0.0,44.84,True,correct
XO.LT01..HH.2018.06.04.08.53.58,S,LT01,main,65.44,FUSE,0.0,65.6,True,correct
XO.LA25..HH.2018.06.04.11.08.53,P,LA25,holdout,44.99,FUSE,14.3,44.925,True,correct
XO.LA25..HH.2018.06.04.11.08.53,S,LA25,holdout,73.02,ABSTAIN,46.3,,False,no_pick
XO.LT06..HH.2018.06.04.11.08.54,S,LT06,main,44.99,FUSE,4.3,44.94,True,correct
XO.LD40..HH.2018.06.04.14.18.52,S,LD40,holdout,44.99,ROUTE,21.3,44.9,True,correct
XO.LD41..HH.2018.06.04.23.19.16,P,LD41,main,44.99,ROUTE,26.3,45.08,True,correct
XO.LT01..HH.2018.06.04.23.19.36,S,LT01,main,44.99,ABSTAIN,57.0,,False,no_pick
XO.LT04..HH.2018.06.04.07.08.50,S,LT04,main,44.99,FUSE,1.0,44.98,True,correct
XO.LA39..HH.2018.06.04.09.04.57,P,LA39,holdout,44.99,ABSTAIN,20.2,,False,no_pick
XO.LA39..HH.2018.06.04.09.04.57,S,LA39,holdout,60.03,FUSE,18.3,112.87,True,wrong
XO.LA39..HH.2018.06.04.09.06.39,S,LA39,main,44.99,ABSTAIN,47.0,,False,no_pick
XO.LT01..HH.2018.06.04.11.30.33,S,LT01,main,44.99,FUSE,0.0,45.02,True,correct
XO.LT17..HH.2018.06.05.18.26.28,P,LT17,holdout,44.99,FUSE,13.6,44.98,True,correct
XO.LT17..HH.2018.06.05.18.26.28,S,LT17,holdout,56.91,FUSE,1.3,57.61,True,correct
XO.LD40..HH.2018.06.05.13.17.40,S,LD40,main,44.99,ROUTE,21.3,45.52,True,correct
XO.LA39..HH.2018.06.05.14.06.23,P,LA39,holdout,44.99,FUSE,0.0,45.02,True,correct
XO.LA39..HH.2018.06.05.14.06.23,S,LA39,holdout,58.45,FUSE,0.0,59.17,True,correct
XO.LD36..HH.2018.06.05.15.48.02,P,LD36,main,45.0,ROUTE,21.3,45.43,True,correct
XO.LD36..HH.2018.06.05.15.48.02,S,LD36,main,62.28,ROUTE,21.3,62.08,True,correct
XO.LD41..HH.2018.06.05.15.48.13,P,LD41,main,44.99,ROUTE,26.3,44.91,True,correct
XO.LD38..HH.2018.06.06.02.46.26,S,LD38,main,44.99,ROUTE,26.3,45.51,True,correct
XO.LT07..HH.2018.06.06.09.33.43,P,LT07,main,44.99,FUSE,12.3,45.045,True,correct
XO.LT07..HH.2018.06.06.09.33.43,S,LT07,main,59.37,FUSE,0.0,59.53,True,correct
XO.LT01..HH.2018.06.07.03.06.19,S,LT01,main,44.99,FUSE,17.3,44.735,True,correct
XO.LT04..HH.2018.06.07.03.06.30,S,LT04,main,44.99,FUSE,1.0,44.99,True,correct
XO.LD40..HH.2018.06.07.08.49.44,P,LD40,main,44.99,ROUTE,21.3,45.1,True,correct
XO.LD40..HH.2018.06.07.08.49.44,S,LD40,main,69.92,ROUTE,21.3,70.89,True,correct
XO.LT20..HH.2018.06.07.12.05.57,P,LT20,main,44.99,ROUTE,26.3,30.81,True,wrong
XO.LT20..HH.2018.06.07.12.05.57,S,LT20,main,59.84,ROUTE,26.3,59.54,True,correct
XO.LD38..HH.2018.06.07.16.10.19,S,LD38,holdout,45.0,ROUTE,26.3,44.95,True,correct
XO.LT04..HH.2018.06.07.00.12.59,S,LT04,main,44.99,ABSTAIN,53.0,,False,no_pick
