sample_id,phase,station,split,truth_s,selected_time_s,action,risk,verdict,auto_at_50pct,snr_db,gap_ratio,clipping_ratio,missing_channels,config_version,config_hash
XO.LT20..HH.2018.05.19.19.23.05,P,LT20,main,45.0,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,12.9,0.25,0.001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.19.19.23.05,S,LT20,main,53.59,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,12.9,0.25,0.001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.20.00.22.19,P,LT20,holdout,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,14.7,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.20.00.22.19,S,LT20,holdout,52.98,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,14.7,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA25..HH.2018.05.21.03.48.10,P,LA25,holdout,44.99,,ABSTAIN,42.8,no_pick,NOT_EVALUABLE,11.1,0.25,0.0013,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA25..HH.2018.05.21.03.48.10,S,LA25,holdout,80.04,,ABSTAIN,61.3,no_pick,NOT_EVALUABLE,11.1,0.25,0.0013,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA30..HH.2018.05.21.04.42.52,S,LA30,main,45.0,,ABSTAIN,10.0,no_pick,NOT_EVALUABLE,9.6,0.0,0.0017,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT18..HH.2018.05.22.23.57.53,P,LT18,main,44.99,,ABSTAIN,22.8,no_pick,NOT_EVALUABLE,9.0,0.25,0.0018,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT17..HH.2018.05.22.23.57.56,P,LT17,main,44.99,44.485,FUSE,1.3,wrong,NOT_EVALUABLE,2.8,0.0,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT13..HH.2018.05.22.11.57.14,P,LT13,main,44.99,,ABSTAIN,11.3,no_pick,NOT_EVALUABLE,1.0,0.0,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT15..HH.2018.05.23.00.51.43,S,LT15,main,45.0,,ABSTAIN,16.0,no_pick,NOT_EVALUABLE,3.2,0.0,0.0002,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA25..HH.2018.05.23.00.51.49,P,LA25,main,45.0,,ABSTAIN,22.8,no_pick,NOT_EVALUABLE,11.7,0.25,0.0014,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD36..HH.2018.05.23.00.51.50,P,LD36,main,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,13.8,0.25,0.001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.24.03.19.38,P,LD41,main,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,11.2,0.25,0.0004,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.24.03.19.38,S,LD41,main,69.81,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,11.2,0.25,0.0004,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.24.12.30.13,P,LD41,main,45.0,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,11.1,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.24.12.30.13,S,LD41,main,73.95,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,11.1,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.25.06.03.39,P,LT20,main,44.99,,ABSTAIN,31.3,no_pick,NOT_EVALUABLE,14.5,0.25,0.0015,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.25.06.03.39,S,LT20,main,62.83,,ABSTAIN,31.3,no_pick,NOT_EVALUABLE,14.5,0.25,0.0015,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD45..HH.2018.05.25.06.30.42,P,LD45,main,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,14.3,0.25,0.0027,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA26..HH.2018.05.25.06.30.46,P,LA26,main,44.99,,ABSTAIN,37.0,no_pick,NOT_EVALUABLE,16.9,0.0,0.0053,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.25.04.54.19,P,LD41,holdout,45.0,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,11.8,0.25,0.0011,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.25.05.36.36,P,LD41,main,45.0,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,11.6,0.25,0.0005,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT04..HH.2018.05.25.08.10.32,S,LT04,main,58.21,,ABSTAIN,6.3,no_pick,NOT_EVALUABLE,2.7,0.0,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD44..HH.2018.05.26.11.58.59,P,LD44,main,44.99,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,11.0,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.05.26.19.37.24,P,LD38,main,45.0,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,13.6,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.05.26.19.37.24,S,LD38,main,58.54,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,13.6,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.26.10.39.55,P,LD41,holdout,44.99,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,12.0,0.25,0.0003,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.05.26.14.57.05,S,LD40,main,44.99,,ABSTAIN,31.3,no_pick,NOT_EVALUABLE,16.5,0.25,0.0028,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.27.16.25.34,P,LD41,main,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,12.5,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA23..HH.2018.05.27.18.30.11,P,LA23,main,44.99,44.46,FUSE,0.0,wrong,NOT_EVALUABLE,8.4,0.0,0.0002,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA23..HH.2018.05.27.18.30.11,S,LA23,main,57.08,,ABSTAIN,18.5,no_pick,NOT_EVALUABLE,8.4,0.0,0.0002,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA29..HH.2018.05.27.18.30.30,P,LA29,main,45.0,44.04,FUSE,6.0,wrong,NOT_EVALUABLE,6.1,0.0,0.0013,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.27.14.38.01,S,LT20,holdout,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,13.3,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA32..HH.2018.05.28.07.33.19,P,LA32,holdout,45.0,,ABSTAIN,22.3,no_pick,NOT_EVALUABLE,11.3,0.0,0.0013,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.28.07.32.51,P,LT20,main,44.99,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,15.1,0.25,0.0022,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.28.07.32.51,S,LT20,main,56.79,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,15.1,0.25,0.0022,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.05.28.04.25.32,S,LD40,main,45.0,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,13.3,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT01..HH.2018.05.28.08.07.29,S,LT01,main,44.99,,ABSTAIN,43.5,no_pick,NOT_EVALUABLE,14.5,0.0,0.0014,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.28.12.50.00,S,LD41,main,45.0,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,20.2,0.25,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.05.29.03.57.24,P,LD38,main,45.0,,ABSTAIN,7.8,no_pick,NOT_EVALUABLE,13.8,0.25,0.0022,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.05.29.03.57.24,S,LD38,main,65.39,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,13.8,0.25,0.0022,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.29.21.25.20,P,LT20,main,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,13.1,0.25,0.0003,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.29.21.25.20,S,LT20,main,52.84,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,13.1,0.25,0.0003,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT20..HH.2018.05.30.02.35.41,P,LT20,main,45.0,,ABSTAIN,31.3,no_pick,NOT_EVALUABLE,13.3,0.25,0.0009,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.30.20.36.25,P,LD41,holdout,45.0,,ABSTAIN,22.8,no_pick,NOT_EVALUABLE,13.1,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA39..HH.2018.05.30.08.25.25,S,LA39,main,44.99,43.92,FUSE,18.3,wrong,NOT_EVALUABLE,7.6,0.0,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.30.15.34.41,P,LD41,holdout,44.99,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,12.2,0.25,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT04..HH.2018.05.31.01.58.18,P,LT04,main,45.0,,ABSTAIN,39.5,no_pick,NOT_EVALUABLE,5.7,0.0,0.0008,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.05.31.08.14.27,P,LD40,holdout,45.0,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,13.0,0.25,0.0005,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.05.31.19.02.50,P,LD40,main,44.99,,ABSTAIN,31.3,no_pick,NOT_EVALUABLE,10.7,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.05.31.19.02.50,S,LD40,main,70.83,,ABSTAIN,31.3,no_pick,NOT_EVALUABLE,10.7,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT18..HH.2018.05.31.17.51.09,S,LT18,main,55.45,,ABSTAIN,22.8,no_pick,NOT_EVALUABLE,13.9,0.25,0.0059,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.25.12.35.29,P,LD41,holdout,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,11.3,0.25,0.0005,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT04..HH.2018.05.25.12.35.31,P,LT04,main,44.99,,ABSTAIN,43.0,no_pick,NOT_EVALUABLE,3.5,0.0,0.0008,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.05.27.10.36.29,S,LD38,main,68.08,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,14.2,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT14..HH.2018.05.30.01.52.09,P,LT14,main,44.99,,ABSTAIN,27.8,no_pick,NOT_EVALUABLE,17.9,0.25,0.0027,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA28..HH.2018.05.30.01.52.24,S,LA28,main,44.99,,ABSTAIN,46.3,no_pick,NOT_EVALUABLE,11.5,0.25,0.0007,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD36..HH.2018.05.29.00.36.40,P,LD36,main,45.0,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,13.1,0.25,0.0009,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.05.29.07.10.38,P,LD41,holdout,44.99,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,13.3,0.25,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.05.29.16.20.11,P,LD38,holdout,45.0,,ABSTAIN,36.3,no_pick,NOT_EVALUABLE,16.4,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.05.29.16.20.11,S,LD38,holdout,50.21,,ABSTAIN,36.3,no_pick,NOT_EVALUABLE,16.4,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.05.27.04.41.02,P,LD38,main,45.0,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,12.1,0.25,0.0011,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA21..HH.2018.05.27.04.41.09,P,LA21,main,44.99,,ABSTAIN,9.3,no_pick,NOT_EVALUABLE,9.2,0.25,0.0002,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA21..HH.2018.05.27.04.41.09,S,LA21,main,63.48,,ABSTAIN,22.8,no_pick,NOT_EVALUABLE,9.2,0.25,0.0002,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA25..HH.2018.05.27.04.41.28,S,LA25,main,45.0,,ABSTAIN,46.3,no_pick,NOT_EVALUABLE,12.6,0.25,0.0008,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.05.27.15.40.08,S,LD40,holdout,44.99,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,11.5,0.25,0.0005,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.05.27.17.21.08,S,LD40,holdout,44.99,,ROUTE,31.3,no_pick,NOT_EVALUABLE,11.0,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD36..HH.2018.05.22.02.27.39,P,LD36,main,45.0,,ABSTAIN,36.3,no_pick,NOT_EVALUABLE,11.4,0.25,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD36..HH.2018.05.22.02.27.39,S,LD36,main,78.48,,ABSTAIN,36.3,no_pick,NOT_EVALUABLE,11.4,0.25,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT10..HH.2018.05.16.21.10.06,P,LT10,holdout,44.99,,ABSTAIN,18.3,no_pick,NOT_EVALUABLE,6.4,0.0,0.0011,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT10..HH.2018.05.16.21.10.06,S,LT10,holdout,56.68,,ABSTAIN,6.0,no_pick,NOT_EVALUABLE,6.4,0.0,0.0011,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD36..HH.2018.05.15.12.37.51,P,LD36,main,45.0,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,14.1,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD36..HH.2018.05.15.12.37.51,S,LD36,main,56.36,,ABSTAIN,31.3,no_pick,NOT_EVALUABLE,14.1,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.06.01.18.41.12,P,LD40,main,44.99,,ABSTAIN,36.3,no_pick,NOT_EVALUABLE,15.6,0.25,0.0004,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.06.01.18.36.01,S,LD40,main,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,13.3,0.25,0.0007,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA25..HH.2018.06.01.20.34.52,P,LA25,main,44.99,,ABSTAIN,22.8,no_pick,NOT_EVALUABLE,12.4,0.25,0.0003,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA25..HH.2018.06.01.20.34.52,S,LA25,main,66.17,,ABSTAIN,46.3,no_pick,NOT_EVALUABLE,12.4,0.25,0.0003,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA28..HH.2018.06.01.20.35.12,S,LA28,main,45.0,,ABSTAIN,46.3,no_pick,NOT_EVALUABLE,13.8,0.25,0.0005,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT16..HH.2018.06.01.20.34.51,P,LT16,main,44.99,,ABSTAIN,52.8,no_pick,NOT_EVALUABLE,22.7,0.75,0.0005,N|E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT04..HH.2018.06.02.13.39.17,S,LT04,main,44.99,,ABSTAIN,34.5,no_pick,NOT_EVALUABLE,5.2,0.0,0.0011,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.06.02.15.35.07,P,LD40,main,45.0,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,11.1,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.06.02.15.35.07,S,LD40,main,68.54,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,11.1,0.25,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT01..HH.2018.06.02.21.04.45,S,LT01,holdout,44.99,130.595,FUSE,27.3,wrong,NOT_EVALUABLE,8.7,0.0,0.0019,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA39..HH.2018.06.02.13.10.54,S,LA39,main,44.99,,ABSTAIN,52.0,no_pick,NOT_EVALUABLE,8.5,0.0,0.0001,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT06..HH.2018.06.03.04.44.01,P,LT06,main,44.99,,ABSTAIN,9.3,no_pick,NOT_EVALUABLE,13.0,0.25,0.0011,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT06..HH.2018.06.03.04.44.01,S,LT06,main,63.1,,ABSTAIN,9.3,no_pick,NOT_EVALUABLE,13.0,0.25,0.0011,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA39..HH.2018.06.03.07.11.07,P,LA39,main,44.99,,ABSTAIN,6.0,no_pick,NOT_EVALUABLE,5.7,0.0,0.0005,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD40..HH.2018.06.03.16.09.02,S,LD40,main,45.0,,ABSTAIN,26.3,no_pick,NOT_EVALUABLE,10.8,0.25,0.0003,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.06.03.21.07.13,P,LD38,holdout,44.99,,ABSTAIN,7.8,no_pick,NOT_EVALUABLE,12.1,0.25,0.0003,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.06.03.21.07.13,S,LD38,holdout,63.23,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,12.1,0.25,0.0003,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD41..HH.2018.06.03.05.04.35,P,LD41,main,45.0,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,9.6,0.25,0.0006,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LD38..HH.2018.06.03.06.45.02,P,LD38,main,44.99,,ABSTAIN,21.3,no_pick,NOT_EVALUABLE,11.0,0.25,0.0017,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LT18..HH.2018.06.03.08.02.03,P,LT18,main,44.99,,ABSTAIN,22.8,no_pick,NOT_EVALUABLE,10.9,0.25,0.0005,E,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
XO.LA29..HH.2018.06.03.08.02.25,P,LA29,main,45.0,,ABSTAIN,19.5,no_pick,NOT_EVALUABLE,5.8,0.0,0.0005,,semifinal_v1.5.1,58011ddcaeaa2160bc51d32f50f956ca8ea552ed98363eaef11d301276495815
